Word/Phrase,Pronunciation,Definition,Bangla meaning,Example Sentence,ai prompt,Collocations,0
may (modal) (v.),meɪ/ মে/ mey,Expressing possibility or permission.,সম্ভবত / পারা,It may rain later today.,"A dark, brooding cloud starting to gather in an otherwise clear blue sky.","may be, may well",
May (n.),meɪ/ মে/ mey,The fifth month of the year.,মে মাস,The flowers bloom beautifully in May.,A beautiful spring garden filled with vibrant blooming flowers and a 'MAY' calendar page.,"early May, in May",
maybe (adv.),ˈmeɪbi/ মেবি/ mey-bee,Perhaps; possibly.,সম্ভবত,Maybe we will go to the cinema tonight.,"A person looking thoughtful, gently tapping their chin with a finger.","maybe not, just maybe",
mayor (n.),mɛə/ মেয়র/ mair,"The elected head of a city, town, or other municipality.",মেয়র,The mayor gave a speech at the town hall.,A dignified official wearing a chain of office speaking confidently at a podium.,"city mayor, elect a mayor",
me (pron.),miː/ মি/ mee,Used by a speaker to refer to himself or herself as the object of a verb or preposition.,আমাকে,Give it to me.,A person pointing their index finger towards their own chest.,"for me, with me",
meal (n.),miːl/ মিল/ meel,Any of the regular occasions in a day when a reasonably large amount of food is eaten.,খাবার,We had a delicious three-course meal.,"A beautifully plated, delicious three-course dinner set on a restaurant table.","eat a meal, heavy meal",
mean (v.),miːn/ মিন/ meen,"Intend to convey, indicate, or refer to (a particular thing or notion); signify.",অর্থ করা / বোঝানো,What does this word mean?,A confused person looking at a strange symbol in a thick dictionary.,"mean to do, mean business",
meaning (n.),ˈmiːnɪŋ/ মিনিং/ mee-ning,"What is meant by a word, text, concept, or action.",অর্থ,The meaning of the poem is unclear.,"A magnifying glass focusing on a specific word in an old, dusty book.","true meaning, deep meaning",
means (n.),miːnz/ মিনস/ meenz,An action or system by which a result is brought about; a method.,উপায় / মাধ্যম,They had no means of communication.,"Several communication devices like a phone, letter, and laptop connected by glowing lines.","by means of, means of transport",
meanwhile (adv.),ˈmiːnwaɪl/ মিনহোয়াইল/ meen-hwahyl,In the intervening period of time.,ইতোমধ্যে,"He was studying; meanwhile, his brother was playing games.",A split-screen showing one person studying intensely and another playing video games happily.,"in the meanwhile, meanwhile back at",
"measure (v.), (n.) ",ˈmɛʒə/ মেজার/ mezh-er,"Ascertain the size, amount, or degree of (something) by using an instrument or device marked in standard units.",পরিমাপ করা,Measure the length of the room.,A person stretching a bright yellow tape measure across a wooden floor.,"measure up, safety measure",
measurement (n.),ˈmɛʒəmənt/ মেজারমেন্ট/ mezh-er-muhnt,The action of measuring something.,পরিমাপ,Exact measurements are important in baking.,A precise digital kitchen scale showing exact grams of flour.,"accurate measurement, unit of measurement",
meat (n.),miːt/ মিট/ meet,"The flesh of an animal, typically a mammal or bird, as food.",মাংস,He doesn't eat meat; he's a vegetarian.,A high-quality raw steak resting on a wooden cutting board with rosemary and garlic.,"red meat, raw meat",
media (n.),ˈmiːdiə/ মিডিয়া/ mee-dee-uh,"The main means of mass communication (broadcasting, publishing, and the internet).",গণমাধ্যম,The event got a lot of coverage in the media.,"A collage of floating screens displaying news, social icons, newspapers, and microphones.","social media, mass media",
medical (adj.),ˈmɛdɪkl/ মেডিকেল/ med-i-kuhl,Relating to the science or practice of medicine.,চিকিৎসা সংক্রান্ত,He needs medical attention immediately.,A glowing blue cross symbol floating above a neat row of assorted medicine bottles.,"medical attention, medical student",
medicine (n.),ˈmɛdsn/ মেডিসিন/ med-uh-sin,A compound or preparation used for the treatment or prevention of disease.,ওষুধ / চিকিৎসা বিজ্ঞান,Did you take your medicine this morning?,A handful of colorful capsules and tablets resting next to a glass of water.,"take medicine, practice medicine",
"medium (adj.), (n.) ",ˈmiːdiəm/ মিডিয়াম/ mee-dee-uhm,About halfway between two extremes of size or another quality.,মাঝারি,"I'd like a medium coffee, please.","Three coffee cups lined up: small, medium, and large, with an arrow pointing to the middle one.","medium size, medium heat",
meet (v.),miːt/ মিট/ meet,Come into the presence or company of (someone) by chance or arrangement.,সাক্ষাৎ করা,Let's meet at the park at noon.,Two people smiling and warmly shaking hands in a pleasant outdoor setting.,"meet up, meet the requirements",
meeting (n.),ˈmiːtɪŋ/ মিটিং/ mee-ting,"An assembly of people for a particular purpose, especially for formal discussion.",সভা,I have a meeting with the boss at 10 AM.,Professionals sitting around a sleek conference table discussing a bright chart.,"hold a meeting, business meeting",
melt (v.),mɛlt/ মেল্ট/ melt,Make or become liquefied by heat.,গলে যাওয়া,The ice cream is starting to melt.,A scoop of vanilla ice cream slowly melting on a hot summer pavement.,"melt away, melt down",
member (n.),ˈmɛmbə/ মেম্বার/ mem-ber,"A person, animal, or plant belonging to a particular group.",সদস্য,She is a member of the local gym.,A shiny gold membership card with 'VIP Member' printed on it.,"family member, club member",
membership (n.),ˈmɛmbəʃɪp/ মেম্বারশিপ/ mem-ber-ship,The fact of being a member of a group.,সদস্যপদ,He renewed his gym membership.,A hand scanning a sleek membership card at a modern digital turnstile.,"membership fee, exclusive membership",
memory (n.),ˈmɛməri/ মেমোরি/ mem-uh-ree,The faculty by which the mind stores and remembers information.,স্মৃতি,I have a terrible memory for names.,"A glowing, ethereal brain with interconnected glowing nodes representing recalled memories.","good memory, short-term memory",
mental (adj.),ˈmɛntl/ মেন্টাল/ men-tl,Relating to the mind.,মানসিক,Playing chess is good for your mental health.,A peaceful human silhouette with calming blue abstract waves flowing through the head area.,"mental health, mental illness",
mentally (adv.),ˈmɛntəli/ মেন্টালি/ men-tl-ee,In a manner relating to the mind.,মানসিকভাবে,He was mentally exhausted after the exam.,"A person sitting at a desk rubbing their eyes, looking overwhelmed by a giant stack of papers.","mentally ill, mentally exhausting",
mention (v.),ˈmɛnʃn/ মেনশন/ men-shuhn,Refer to something briefly and without going into detail.,উল্লেখ করা,Did he mention what time he was arriving?,A speech bubble pointing from a person with a bright exclamation mark inside.,"don't mention it, barely mention",
menu (n.),ˈmɛnjuː/ মেনু/ men-yoo,A list of dishes available in a restaurant or of items available on a computer.,খাদ্যতালিকা,"Can I see the menu, please?","An elegant, leather-bound restaurant menu slightly open on a wooden dining table.","restaurant menu, drop-down menu",
mere (adj.),mɪə/ মিয়ার/ meer,Used to emphasize how small or insignificant someone or something is.,শুধুমাত্র / নিছক,It took a mere 20 minutes to finish.,A small hourglass with almost all the sand already in the bottom.,"mere fraction, mere thought",
merely (adv.),ˈmɪəli/ মিয়ারলি/ meer-lee,Just; only.,শুধুমাত্র,I was merely asking a question.,"A person raising both hands up defensively and smiling slightly, indicating no harm meant.","merely a formality, not merely",
mess (n.),mɛs/ মেস/ mes,A dirty or untidy state of things or of a place.,অগোছালো অবস্থা,My room is in a terrible mess.,A very untidy bedroom with clothes thrown everywhere and books scattered on the floor.,"make a mess, clean up the mess",
message (n.),ˈmɛsɪdʒ/ মেসেজ/ mes-ij,"A verbal, written, or recorded communication sent to or left for a recipient.",বার্তা,I left a message on his phone.,A glowing digital envelope icon displaying on a sleek smartphone screen.,"text message, send a message",
metal (n.),ˈmɛtl/ মেটাল/ met-l,"A solid material that is typically hard, shiny, malleable, and conducts electricity.",ধাতু,The gate is made of solid metal.,"Close-up of shiny, textured steel plates riveted together.","heavy metal, scrap metal",
method (n.),ˈmɛθəd/ মেথড/ meth-uhd,A particular procedure for accomplishing or approaching something.,পদ্ধতি,This is an effective method for learning a new language.,"A detailed, structured flowchart diagram on a whiteboard being pointed at by a marker.","teaching method, scientific method",
metre (BrE) (NAmE meter) (n.),ˈmiːtə/ মিটার/ mee-ter,The fundamental unit of length in the metric system.,মিটার,The table is two metres long.,A standard wooden meter stick lying next to a large fabric piece for measurement.,"square metre, cubic metre",
mg (abbr. milligram),mɪlɪɡræm/ মিলিগ্রাম/ mil-ee-gram,Milligram.,মিলিগ্রাম,Take a 500 mg tablet.,A white medical tablet with '500mg' clearly engraved on its surface.,"per mg, 100 mg",
mid- combining form,mɪd/ মিড/ mid,Middle.,মধ্য-,He is in his mid-twenties.,A timeline line with a bright glowing dot placed exactly in the middle.,"mid-air, mid-morning",
midday (n.),ˌmɪdˈdeɪ/ মিডডে/ mid-dey,The middle of the day; noon.,দুপুর,We usually eat lunch at midday.,"A bright, blinding sun shining directly overhead in a clear blue sky at noon.","midday sun, midday meal",
"middle (n.), (adj.) ",ˈmɪdl/ মিডল/ mid-l,"The point or position at an equal distance from the sides, edges, or ends of something.",মাঝখান,He stood in the middle of the room.,A single red dot perfectly centered in a large white circle.,"in the middle of, middle class",
midnight (n.),ˈmɪdnaɪt/ মিডনাইট/ mid-nahyt,Twelve o'clock at night.,মধ্যরাত,The party lasted until midnight.,"A clock tower striking twelve against a dark, starry night sky with a full moon.","at midnight, before midnight",
might (modal) (v.),maɪt/ মাইট/ mahyt,Used to express possibility or make a suggestion.,সম্ভবত,I might go to the party if I finish my work.,"A crossroad sign showing two blurry paths, indicating uncertainty and possibility.","might be, might as well",
mild (adj.),maɪld/ মাইল্ড/ mahyld,"Not severe, serious, or harsh.",মৃদু,We are having a mild winter this year.,"A gentle, sunny winter day with very little snow and a soft breeze.","mild winter, mild flavor",
mile (n.),maɪl/ মাইল/ mahyl,"A unit of linear measure equal to 1,760 yards (approximately 1.609 kilometres).",মাইল,The nearest town is 10 miles away.,A green highway distance sign reading 'Next City 10 Miles'.,"miles away, miles per hour",
military (adj.),ˈmɪlətri/ মিলিটারি/ mil-i-ter-ee,Relating to or characteristic of soldiers or armed forces.,সামরিক,He has a long career in the military.,A row of green military tanks driving in formation during a parade.,"military service, military force",
milk (n.),mɪlk/ মিল্ক/ milk,"An opaque white fluid rich in fat and protein, secreted by female mammals for the nourishment of their young.",দুধ,She poured some milk into her coffee.,A splash of pure white milk being poured smoothly into a clear glass.,"drink milk, glass of milk",
milligram (BrE also milligramme) (n.) (abbr. mg),ˈmɪlɪɡræm/ মিলিগ্রাম/ mil-i-gram,One thousandth of a gram.,মিলিগ্রাম,This pill contains 10 milligrams of the active ingredient.,A highly precise digital scale showing a reading of exactly '10.0 mg'.,"per milligram, a few milligrams",
millimetre (NAmE millimeter) (n.) (abbr. mm),,One thousandth of a metre.,মিলিমিটার,The insect is only a few millimetres long.,A close up of a ruler showing the tiny millimeter markings clearly.,"a few millimetres, per millimetre",
"mind (n.), (v.) ",maɪnd/ মাইন্ড/ mahynd,The element of a person that enables them to be aware of the world and their experiences; to be annoyed or bothered by.,মন / আপত্তি করা,Do you mind if I open the window?,A glowing outline of a head filled with bright stars and swirling thoughts.,"never mind, keep in mind",
"mine (pron.), (n.) ",maɪn/ মাইন/ mahyn,Belonging to the speaker; an excavation in the earth for extracting coal or other minerals.,আমার / খনি,That book is mine.,"A deep, dark coal mine tunnel with wooden supports and a glowing lantern.","a friend of mine, coal mine",
"mineral (n.), (adj.) ",ˈmɪnərəl/ মিনারেল/ min-er-uhl,"A solid, naturally occurring inorganic substance.",খনিজ,This water is rich in minerals.,"A cluster of beautiful, raw, glittering amethyst mineral crystals.","mineral water, mineral resources",
"minimum (adj.), (n.) ",ˈmɪnɪməm/ মিনিমাম/ min-uh-muhm,"The least or smallest amount or quantity possible, attainable, or required.",সর্বনিম্ন,The minimum age to drive is 18.,"A thermometer showing a very low, freezing temperature mark.","minimum wage, bare minimum",
minister (n.),ˈmɪnɪstə/ মিনিস্টার/ min-uh-ster,A head of a government department.,মন্ত্রী,The health minister announced new policies.,A serious government official standing behind a podium with national flags in the background.,"prime minister, government minister",
ministry (n.),ˈmɪnɪstri/ মিনিস্ট্রি/ min-uh-stree,A government department headed by a minister.,মন্ত্রণালয়,He works at the Ministry of Defence.,"A grand, official government building with large stone pillars and an official seal.","ministry of health, government ministry",
minor (adj.),ˈmaɪnə/ মাইনর/ mahy-ner,"Lesser in importance, seriousness, or significance.",নগণ্য / অপ্রাপ্তবয়স্ক,He suffered only minor injuries.,"A small, simple adhesive bandage placed on a tiny scratch.","minor injury, minor problem",
minority (n.),maɪˈnɒrəti/ মাইনরিটি/ mahy-nawr-i-tee,"The smaller number or part, especially a number or part representing less than half of the whole.",সংখ্যালঘু,Only a small minority of students failed the exam.,A pie chart showing a very small slice pulled away from the main large piece.,"ethnic minority, vast minority",
minute (n.),ˈmɪnɪt/ মিনিট/ min-it,A period of time equal to sixty seconds.,মিনিট,I'll be ready in a minute.,A detailed close-up of a wristwatch with the second hand moving.,"in a minute, wait a minute",
mirror (n.),ˈmɪrə/ মিরর/ mir-er,"A surface, typically of glass coated with a metal amalgam, which reflects a clear image.",আয়না,She looked at herself in the mirror.,"An elegant, ornately framed oval mirror reflecting a brightly lit room.","look in the mirror, rear-view mirror",
Miss (n.),mɪs/ মিস/ mis,A title prefixed to the name of an unmarried woman or girl.,কুমারী (নামের আগে ব্যবহৃত),Miss Smith is my new teacher.,A formal nameplate on a desk that reads 'Miss Smith' in elegant font.,"Miss World, excuse me Miss",
"miss (v.), (n.) ",mɪs/ মিস/ mis,"Fail to hit, reach, or come into contact with (something aimed at); feel sadness at the absence of.",লক্ষ্যভ্রষ্ট হওয়া / মিস করা / অভাব বোধ করা,I miss my family very much.,"A person looking thoughtfully out a rain-streaked window, feeling nostalgic.","miss the bus, miss someone",
missing (adj.),ˈmɪsɪŋ/ মিসিং/ mis-ing,Absent or not able to be found.,নিখোঁজ / হারানো,One piece of the puzzle is missing.,"A nearly complete jigsaw puzzle with one single, glaring empty spot in the center.","go missing, missing person",
"mistake (n.), (v.) ",mɪˈsteɪk/ মিসটেক/ mi-steyk,An action or judgment that is misguided or wrong.,ভুল,I made a big mistake.,A piece of paper with a word aggressively scribbled out in red ink.,"make a mistake, big mistake",
mistaken (adj.),mɪˈsteɪkən/ মিসটেকেন/ mi-stey-kuhn,Wrong in one's opinion or judgment.,ভুলবশত / ভুল বুঝেছে এমন,"If you think I will give up, you are mistaken.","A crossroad sign pointing the wrong way, indicating a wrong choice.","be mistaken, sorely mistaken",
"mix (v.), (n.) ",mɪks/ মিক্স/ miks,Combine or put together to form one substance or mass.,মেশানো / মিশ্রণ,Mix the flour and water to make dough.,A wooden spoon stirring a colorful swirl of different paints in a bowl.,"mix together, mix well",
mixed (adj.),mɪkst/ মিক্সড/ mikst,Consisting of different qualities or elements.,মিশ্র,I have mixed feelings about the new plan.,A jar filled with a colorful assortment of many different types of candies.,"mixed feelings, mixed martial arts",
mixture (n.),ˈmɪkstʃə/ মিক্সচার/ miks-cher,A substance made by mixing other substances together.,মিশ্রণ,"The dough is a mixture of flour, water, and yeast.",A glass bowl showing thoroughly mixed cake batter ready for the oven.,"mixture of, complex mixture",
mm (abbr. millimetre),mɪlɪmiːtə(r)/ মিলিমিটার/ mil-ee-mee-ter,Millimetre.,মিলিমিটার,The hole is 5 mm wide.,A very small drill bit measuring exactly 5 mm across.,"5 mm, per mm",
mobile (adj.),ˈmoʊbaɪl/ মোবাইল/ moh-buhl,Able to move or be moved freely or easily.,চলনশীল,A mobile library visits the village every week.,A colorful bookmobile van parked in a sunny village square with people around.,"mobile phone, upwardly mobile",
mobile phone (also mobile) (n.) (BrE),ˌmoʊbaɪl ˈfoʊn/ মোবাইল ফোন/ moh-buhl fohn,A portable telephone that can make and receive calls over a radio frequency link.,মোবাইল ফোন,She forgot her mobile phone at home.,A sleek modern smartphone with a glowing screen lying on a wooden table.,"use a mobile phone, mobile phone network",
model (n.),ˈmɒdl/ মডেল/ mod-l,"A three-dimensional representation of a person or thing or of a proposed structure, typically on a smaller scale; a fashion model.",মডেল / নকশা,He built a model of an airplane.,"A highly detailed, miniature plastic model of a vintage airplane on a desk.","role model, fashion model",
modern (adj.),ˈmɒdn/ মডার্ন/ mod-ern,Relating to the present or recent times as opposed to the remote past.,আধুনিক,The city has a lot of modern architecture.,"A sleek, futuristic skyscraper made of glass and steel reflecting the sky.","modern technology, modern art",
mom (NAmE) (BrE mum) (n.),mɑːm/ মাম/ mahm,One's mother.,মা,I called my mom on her birthday.,A child happily giving a handmade drawing to their smiling mother.,"mom and dad, single mom",
moment (n.),ˈmoʊmənt/ মোমেন্ট/ moh-muhnt,A very brief period of time.,মুহূর্ত,"Wait a moment, I will be right back.","A beautiful, fleeting sunset captured perfectly in a photograph frame.","just a moment, at the moment",
Monday (n.) (abbr. Mo(n.)),ˈmʌndeɪ/ মানডে/ muhn-day,The day of the week before Tuesday and following Sunday.,সোমবার,I will see you next Monday.,A freshly brewed cup of coffee next to a planner with 'MONDAY' written clearly.,"next Monday, on Monday",
money (n.),ˈmʌni/ মানি/ muhn-ee,A current medium of exchange in the form of coins and banknotes.,টাকা / অর্থ,I need to save more money.,A shiny ceramic piggy bank with a gold coin being dropped into the slot.,"make money, save money",
"monitor (n.), (v.) ",ˈmɒnɪtə/ মনিটর/ mon-i-ter,"An instrument or device used for observing, checking, or keeping a continuous record; to observe.",পর্যবেক্ষণ যন্ত্র / পর্যবেক্ষণ করা,The doctor will monitor your heart rate.,A glowing green medical heart rate monitor showing a steady pulse line.,"computer monitor, closely monitor",
month (n.),mʌnθ/ মান্থ/ muhnth,Each of the twelve named periods into which a year is divided.,মাস,We are going on holiday next month.,A full wall calendar with one entire month block circled in red marker.,"every month, next month",
mood (n.),muːd/ মুড/ mood,A temporary state of mind or feeling.,মেজাজ,He is in a bad mood today.,"A person with a dark rain cloud drawn hovering over their head, looking grumpy.","good mood, bad mood",
moon (n.),muːn/ মুন/ moon,"The natural satellite of the earth, visible by reflected light from the sun.",চাঁদ,The moon was bright and full.,"A brilliant, detailed full moon glowing against a dark, star-filled night sky.","full moon, the moon shines",
moral (adj.),ˈmɒrəl/ মোরাল/ mawr-uhl,Concerned with the principles of right and wrong behaviour.,নৈতিক,He felt a moral obligation to help them.,A glowing balance scale of justice representing fairness and ethical choices.,"moral duty, moral support",
morally (adv.),ˈmɒrəli/ মোরালি/ mawr-uh-lee,With reference to the principles of right and wrong behaviour.,নৈতিকভাবে,It is morally wrong to steal.,"An angelic glowing halo symbol contrasting with a dark, shadowy background.","morally wrong, morally acceptable",
"more (det.), (pron.), (adv.) ",mɔː/ মোর/ mawr,A greater or additional amount or degree.,আরও,Can I have some more water?,"A glass being filled to the top with fresh, clear water from a pitcher.","more than, much more",
moreover (adv.),mɔːrˈoʊvə/ মোরওভার/ mawr-oh-ver,As a further matter; besides.,অধিকন্তু,"The car is beautiful; moreover, it is reliable.","A document with a bright, glowing 'PLUS' sign adding extra positive points.","moreover it is, moreover we must",
morning (n.),ˈmɔːnɪŋ/ মর্নিং/ mawr-ning,"The period of time between midnight and noon, especially from sunrise to noon.",সকাল,I drink coffee every morning.,"A bright sunrise breaking over a quiet city skyline with warm, golden light.","good morning, early morning",
"most (det.), (pron.), (adv.) ",moʊst/ মোস্ট/ mohst,Greatest in amount or degree.,সবচেয়ে বেশি / বেশিরভাগ,Most people like chocolate.,A massive pile of chocolate bars dwarfing a single tiny vanilla candy.,"most of the time, the most important",
mostly (adv.),ˈmoʊstli/ মোস্টলি/ mohst-lee,As regards the greater part or number.,অধিকাংশ ক্ষেত্রে,The sky was mostly cloudy.,A sky almost completely covered in fluffy white clouds with only tiny patches of blue.,"mostly due to, consisting mostly of",
mother (n.),ˈmʌðə/ মাদার/ muhth-er,A woman in relation to a child or children to whom she has given birth.,মা,Her mother is a doctor.,A loving mother gently holding and smiling at her newborn baby.,"mother and child, single mother",
motion (n.),ˈmoʊʃn/ মোশন/ moh-shuhn,The action or process of moving or being moved.,গতি,The swaying motion of the boat made her sick.,A long-exposure photograph of a busy street showing blurred light trails of cars.,"in motion, slow motion",
motor (n.),ˈmoʊtə/ মোটর/ moh-ter,"A machine, especially one powered by electricity or internal combustion, that supplies motive power for a vehicle or for some other device with moving parts.",মোটর / যন্ত্র,The electric motor is very quiet.,"A shiny, complex metallic electric motor with copper coils visible inside.","electric motor, motor vehicle",
motorcycle (BrE also motorbike) (n.),ˈmoʊtəsaɪkl/ মোটরসাইকেল/ moh-ter-sahy-kuhl,A two-wheeled vehicle that is powered by a motor and has no pedals.,মোটরসাইকেল,He bought a new motorcycle.,"A sleek, fast, black sport motorcycle parked on an empty scenic road.","ride a motorcycle, motorcycle helmet",
"mount (v.), (n.) ",maʊnt/ মাউন্ট/ mownt,To organize and initiate (a campaign or exhibition); to get up on.,আরোহণ করা / স্থাপন করা,The museum will mount a new exhibition.,"A majestic horse fully saddled, ready for a rider to mount.","mount a horse, mount a campaign",
mountain (n.),ˈmaʊntɪn/ মাউন্টেন/ mown-tin,A large natural elevation of the earth's surface rising abruptly from the surrounding level.,পর্বত,They climbed the highest mountain.,"A stunning, snow-capped mountain peak towering above a layer of clouds.","mountain peak, climb a mountain",
mouse (n.),maʊs/ মাউস/ mows,A small rodent; a small handheld device that is dragged across a flat surface to move the cursor on a computer screen.,ইঁদুর / মাউস (কম্পিউটার),I need a new wireless mouse for my computer.,"A sleek, ergonomic wireless computer mouse resting on a clean desk pad.","computer mouse, catch a mouse",
mouth (n.),maʊθ/ মাউথ/ mowth,"The opening in the lower part of the human face, surrounded by the lips, through which food is taken in and from which speech and other sounds are emitted.",মুখ,Open your mouth wide for the dentist.,"A close up illustration of a healthy, smiling mouth showing white teeth.","open your mouth, mouth of the river",
"move (v.), (n.) ",muːv/ মুভ/ moov,Go in a specified direction or manner; change position.,নড়াচড়া করা / সরে যাওয়া,Please move the chair to the corner.,Cardboard moving boxes stacked neatly inside the back of a moving truck.,"move forward, make a move",
movement (n.),ˈmuːvmənt/ মুভমেন্ট/ moov-muhnt,An act of changing physical location or position or of having this changed.,আন্দোলন / গতিবিধি,He made a sudden movement.,"A dancer captured mid-air in a graceful, flowing ballet movement.","sudden movement, political movement",
movie (n.) (especially NAmE),ˈmuːvi/ মুভি/ moo-vee,A story or event recorded by a camera as a set of moving images and shown in a cinema or on television.,চলচ্চিত্র,We watched a great movie last night.,A classic Hollywood clapperboard sitting next to a tub of fresh popcorn.,"watch a movie, go to the movies",
movie theater (n.) (NAmE),ˈmuːvi ˈθɪətə/ মুভি থিয়েটার/ moo-vee thee-uh-ter,A cinema.,সিনেমা হল,We are going to the movie theater to see a new film.,An illuminated movie theater marquee at night with glowing neon lights and people lining up to buy tickets.,"go to the movie theater, local movie theater",
moving (adj.),ˈmuːvɪŋ/ মুভিং/ moo-ving,"In motion; producing strong emotion, especially sadness or sympathy.",চলমান / মর্মস্পর্শী,It was a very moving story.,"A person wiping away a tear while reading a heartfelt, handwritten letter.","moving story, fast moving",
"Mr (BrE) (also Mr. NAmE, BrE) (abbr.) ",ˈmɪstə(r)/ মিস্টার/ mis-ter,A title used before a surname or full name to address or refer to a man without a higher or honorific or professional title.,জনাব (নামের আগে ব্যবহৃত),Mr Smith is my teacher.,A professional nameplate on a desk reading 'Mr. Smith' in classic font.,"dear Mr, Mr President",
"Mrs (BrE) (also Mrs. NAmE, BrE) (abbr.) ",ˈmɪsɪz/ মিসেস/ mis-iz,A title used before a surname or full name to address or refer to a married woman without a higher or honorific or professional title.,বেগম (বিবাহিত মহিলার নামের আগে ব্যবহৃত),Mrs Jones lives next door.,A mailbox with 'Mrs. Jones' beautifully painted on the side.,"dear Mrs, Mrs Smith",
"Ms (BrE) (also Ms. NAmE, BrE) (abbr.) ",mɪz/ মিজ/ miz,A title used before the surname or full name of any woman regardless of her marital status.,মিস (মহিলার নামের আগে ব্যবহৃত),Ms Davis is the new manager.,"An elegant business card that reads 'Ms. Davis, Manager'.","dear Ms, Ms Davis",
"much (det.), (pron.), (adv.) ",mʌtʃ/ মাচ/ muhch,A great amount or quantity of.,অনেক,I don't have much time.,"A very large, overflowing pile of shiny gold coins next to a tiny single coin.","too much, very much",
mud (n.),mʌd/ মাড/ muhd,"Soft, sticky matter resulting from the mixing of earth and water.",কাদা,The children were playing in the mud.,"Thick, wet, brown mud with fresh boot prints stamped into it.","stuck in the mud, thick mud",
multiply (v.),ˈmʌltɪplaɪ/ মাল্টিপ্লাই/ muhl-tuh-plahy,Obtain from (a number) another that contains the first number a specified number of times.,গুণ করা,"If you multiply 3 by 4, you get 12.",A classic green chalkboard with the math equation '3 x 4 = 12' written clearly in chalk.,"multiply by, rapidly multiply",
mum (BrE) (NAmE mom) (n.),mʌm/ মাম/ mum,One's mother.,মা,My mum makes the best cake.,A mother warmly hugging her child who is holding a slice of cake.,"mum and dad, tell mum",
"murder (n.), (v.) ",ˈmɜːdə/ মার্ডার/ mur-der,The unlawful premeditated killing of one human being by another.,খুন / খুন করা,He was arrested for murder.,"Yellow crime scene tape stretched across a dark, blurry background.","commit a murder, murder investigation",
muscle (n.),ˈmʌsl/ মাসল/ muhs-uhl,"A band or bundle of fibrous tissue in a human or animal body that has the ability to contract, producing movement.",পেশী,He pulled a muscle in his leg.,An anatomical glowing illustration of a human bicep flexing.,"muscle ache, pull a muscle",
museum (n.),mjuˈziːəm/ মিউজিয়াম/ myoo-zee-uhm,"A building in which objects of historical, scientific, artistic, or cultural interest are stored and exhibited.",জাদুঘর,We visited the natural history museum.,"A grand museum hall with a massive, complete T-Rex dinosaur skeleton on display.","visit a museum, national museum",
music (n.),ˈmjuːzɪk/ মিউজিক/ myoo-zik,"Vocal or instrumental sounds (or both) combined in such a way as to produce beauty of form, harmony, and expression of emotion.",সংগীত,She loves listening to classical music.,A close up of sheet music with a violin resting elegantly across it.,"listen to music, classical music",
musical (adj.),ˈmjuːzɪkl/ মিউজিক্যাল/ myoo-zi-kuhl,Relating to music.,সংগীত সম্বন্ধীয়,He plays several musical instruments.,A glowing treble clef surrounded by floating musical notes in the air.,"musical instrument, musical talent",
musician (n.),mjuˈzɪʃn/ মিউজিশিয়ান/ myoo-zish-uhn,"A person who plays a musical instrument, especially as a profession.",সংগীতজ্ঞ,She is a talented jazz musician.,A silhouette of a saxophonist playing passionately under a single stage spotlight.,"talented musician, professional musician",
must (v.),mʌst/ মাস্ট/ muhst,Be obliged to; should (expressing necessity).,অবশ্যই,You must finish your homework.,"A bold red exclamation mark inside a triangle, indicating high importance.","must be, must have",
my (det.),maɪ/ মাই/ mahy,Belonging to or associated with the speaker.,আমার,This is my book.,A person holding an open book close to their chest defensively.,"my friend, my own",
myself (pron.),maɪˈsɛlf/ মাইসেলফ/ mahy-self,Used by a speaker to refer to himself or herself as the object of a verb or preposition.,আমি নিজে,I did it all by myself.,"A proud person standing alone with their hands on their hips, looking accomplished.","do it myself, by myself",
mysterious (adj.),mɪsˈtɪəriəs/ মিস্টেরিয়াস/ mi-steer-ee-uhs,"Difficult or impossible to understand, explain, or identify.",রহস্যময়,A mysterious stranger arrived in town.,A shadowy figure in a long coat and fedora hat standing under a dim streetlamp in fog.,"mysterious circumstances, mysterious disappearance",
mystery (n.),ˈmɪstəri/ মিস্ট্রি/ mis-tuh-ree,Something that is difficult or impossible to understand or explain.,রহস্য,The missing keys remain a mystery.,"A glowing, floating question mark inside a dark, ancient, stone room.","unsolved mystery, murder mystery",
nail (n.),neɪl/ নেইল/ neyl,"A small metal spike with a broadened flat head, driven typically into wood with a hammer; the hard surface covering the upper part of the end of a finger or toe.",পেরেক / নখ,He hit the nail with a hammer.,A shiny steel nail being driven into a piece of rough wood by a metal hammer.,"hammer a nail, bite your nails",
naked (adj.),ˈneɪkɪd/ নেকেড/ ney-kid,Without clothes.,নগ্ন,The baby was running around naked.,"A completely bare, leafless tree standing alone in a winter landscape.","naked eye, half naked",
"name (n.), (v.) ",neɪm/ নেম/ neym,"A word or set of words by which a person, animal, place, or thing is known, addressed, or referred to.",নাম / নাম রাখা,What is your name?,"A glowing 'Hello, my name is' sticker badge waiting to be filled out.","first name, make a name",
narrow (adj.),ˈnæroʊ/ ন্যারো/ nar-oh,Of small width.,সরু / সংকীর্ণ,The street was very narrow.,"A very narrow, ancient cobblestone alleyway between two tall brick walls.","narrow escape, narrow gap",
