Word/Phrase,Type,Category ,Sub-Category ,Pronunciation,Definition,Bangla meaning,Example Sentence,ai prompt,Collocations,Synonym,Antonym
prison,(n.),Work business & society,Law & justice,ˈprɪzn/ প্রিজন/ priz-uhn,A building in which people are legally held as a punishment for a crime they have committed or while awaiting trial.,কারাগার,He was sent to prison for five years.,"Heavy, cold steel prison bars casting shadows across a dark, empty cell.","[
{
""phrase"": ""go to prison"",
""example_sentence"": ""We decided to go to prison as soon as the weather improved.""
},
{
""phrase"": ""in prison"",
""example_sentence"": ""The project remained in prison despite the sudden changes.""
}
]","jail, penitentiary, detention centre, gaol",
prisoner,(n.),Work business & society,Law & justice,ˈprɪznə/ প্রিজনার/ priz-ner,A person legally held in prison as a punishment for crimes they have committed or while awaiting trial.,বন্দী,The prisoner was released early for good behavior.,"A silhouette of a person standing behind heavy steel bars, looking out.","[
{
""phrase"": ""political prisoner"",
""example_sentence"": ""The political prisoner was released early for good behavior.""
},
{
""phrase"": ""take prisoner"",
""example_sentence"": ""Please take prisoner before the meeting begins.""
}
]","inmate, convict, detainee, captive",free person
punish,(v.),Work business & society,Law & justice,ˈpʌnɪʃ/ পানিশ/ puhn-ish,Inflict a penalty or sanction on (someone) as retribution for an offence.,শাস্তি দেওয়া,Those who break the rules will be punished.,A stern judge pointing a wooden gavel down firmly.,"[
{
""phrase"": ""severely punish"",
""example_sentence"": ""People often severely punish when the situation requires it.""
},
{
""phrase"": ""formally punish"",
""example_sentence"": ""The discussion focused on the formally punish.""
}
]","penalise, discipline, sanction, sentence","reward, praise"
punishment,(n.),Work business & society,Law & justice,ˈpʌnɪʃmənt/ পানিশমেন্ট/ puhn-ish-muhnt,The infliction or imposition of a penalty as retribution for an offence.,শাস্তি,What is the punishment for theft?,A pair of heavy steel handcuffs lying on a wooden table.,"[
{
""phrase"": ""capital punishment"",
""example_sentence"": ""What is the capital punishment for theft?""
},
{
""phrase"": ""severe punishment"",
""example_sentence"": ""What is the severe punishment for theft?""
}
]","penalty, sanction, sentence, discipline","reward, pardon"
regular,(adj.),Work business & society,Law & justice,ˈreɡjələ(r)/ রেগুলার/ reg-yuh-ler,"Arranged in or constituting a constant or definite pattern, especially with the same space between individual instances.",নিয়মিত,He makes regular visits to the dentist.,A calendar showing an appointment stamped identically every single month.,"[
{
""phrase"": ""regular basis"",
""example_sentence"": ""The discussion focused on the regular basis.""
},
{
""phrase"": ""regular expression"",
""example_sentence"": ""The discussion focused on the regular expression.""
}
]","usual, normal, frequent, standard","irregular, unusual"
regularly,(adv.),Work business & society,Law & justice,ˈreɡjələli/ রেগুলারলি/ reg-yuh-ler-lee,"With a constant or definite pattern, especially with the same space between individual instances.",নিয়মিতভাবে,You should exercise regularly.,"A clock and a pair of running shoes, implying a daily routine.","[
{
""phrase"": ""exercise regularly"",
""example_sentence"": ""You should exercise regularly.""
},
{
""phrase"": ""visit regularly"",
""example_sentence"": ""Thousands of tourists visit regularly every summer.""
}
]","often, frequently, normally, routinely","rarely, irregularly"
trial,(n.),Work business & society,Law & justice,ˈtraɪəl/ ট্রায়াল/ trahy-uhl,"A formal examination of evidence by a judge, typically before a jury, in order to decide guilt in a case of criminal or civil proceedings",বিচার / পরীক্ষা,He is on trial for murder.,A judge's wooden gavel resting on a thick stack of legal papers,"[
{
""phrase"": ""murder trial"",
""example_sentence"": ""The discussion focused on the murder trial.""
},
{
""phrase"": ""clinical trial"",
""example_sentence"": ""The discussion focused on the clinical trial.""
}
]","hearing, court case, test, attempt",
regulation,(n.),Work business & society,Law & justice,ˌreɡjuˈleɪʃn/ রেগুলেশন/ reg-yuh-lay-shuhn,A rule or directive made and maintained by an authority.,নিয়মকানুন / প্রবিধান,The new regulations will improve safety.,A thick rulebook with 'SAFETY REGULATIONS' printed boldly on the cover.,"[
{
""phrase"": ""rules and regulations"",
""example_sentence"": ""The discussion focused on the rules and regulations.""
},
{
""phrase"": ""strict regulation"",
""example_sentence"": ""The new strict regulation will improve safety.""
}
]","rule, law, order, control","freedom, deregulation"
defend,(v.),Work business & society,Law & justice,dɪˈfɛnd/ ডিফেন্ড/ di-fend,Resist an attack made on (someone or something); protect from harm or danger,রক্ষা করা / প্রতিরোধ করা,The army defended the city.,A soldier holding up a heavy shield against arrows,"[
{
""phrase"": ""defend oneself"",
""example_sentence"": ""People often defend oneself when the situation requires it.""
},
{
""phrase"": ""successfully defend"",
""example_sentence"": ""The discussion focused on the successfully defend.""
}
]","protect, guard, shield, justify","attack, harm"
defence,(n.),Work business & society,Law & justice,dɪˈfɛns/ ডিফেন্স/ di-fens,The action of defending from or resisting attack,প্রতিরক্ষা,He acted in self-defence.,A strong castle wall with knights standing guard,"[
{
""phrase"": ""national defence"",
""example_sentence"": ""He acted in self-national defence.""
},
{
""phrase"": ""in defence of"",
""example_sentence"": ""The project remained in defence of despite the sudden changes.""
}
]","protection, guard, justification","attack, offence"
obey,(v.),Work business & society,Law & justice,əˈbeɪ/ ওবে/ uh-bey,Submit to the authority of (someone) or comply with (a law).,মান্য করা,You must obey the rules.,A well-trained dog sitting perfectly still on command.,"[
{
""phrase"": ""obey the rules"",
""example_sentence"": ""You must obey the rules.""
},
{
""phrase"": ""obey orders"",
""example_sentence"": ""People often obey orders when the situation requires it.""
}
]","follow, comply, respect, adhere","disobey, defy"
offend,(v.),Work business & society,Law & justice,əˈfɛnd/ অফেন্ড/ uh-fend,Cause to feel resentment or indignation.,অপমান করা,I'm sorry if I offended you.,A person looking hurt and turning away while another looks apologetic.,"[
{
""phrase"": ""easily offend"",
""example_sentence"": ""People often easily offend when the situation requires it.""
},
{
""phrase"": ""deeply offend"",
""example_sentence"": ""People often deeply offend when the situation requires it.""
}
]","upset, insult, commit a crime, displease","please, comply"
offence,(n.),Work business & society,Law & justice,əˈfɛns/ অফেন্স/ uh-fens,A breach of a law or rule; an illegal act.,অপরাধ / বিরক্তি,He was charged with a minor offence.,A gavel resting next to a legal document describing a traffic ticket.,"[
{
""phrase"": ""criminal offence"",
""example_sentence"": ""He was charged with a minor criminal offence.""
},
{
""phrase"": ""commit an offence"",
""example_sentence"": ""He was charged with a minor commit an offence.""
}
]","crime, wrong, insult, violation",
offensive,(adj.),Work business & society,Law & justice,əˈfɛnsɪv/ অফেন্সিভ/ uh-fen-siv,"Causing someone to feel deeply hurt, upset, or angry.",অপমানজনক / আক্রমণাত্মক,His remarks were highly offensive.,"A bold, red warning sign with a strike-through indicating inappropriate language.","[
{
""phrase"": ""highly offensive"",
""example_sentence"": ""His remarks were highly offensive.""
},
{
""phrase"": ""offensive remark"",
""example_sentence"": ""He made a offensive remark about the weather.""
}
]","insulting, aggressive, rude, attacking","defensive, polite"
accuse,(v.),Work business & society,Law & justice,əˈkjuːz/ একিউজ/ uh-kyooz,Claim that (someone) has done something wrong,অভিযুক্ত করা,He was accused of stealing the money.,"A pointing finger directing blame at a shadowy figure, dramatic lighting, noir style","[
{
""phrase"": ""accuse of a crime"",
""example_sentence"": ""People often accuse of a crime when the situation requires it.""
},
{
""phrase"": ""falsely accuse"",
""example_sentence"": ""The discussion focused on the falsely accuse.""
},
{
""phrase"": ""directly accuse"",
""example_sentence"": ""People often directly accuse when the situation requires it.""
}
]","charge, blame, allege, claim","defend, exonerate"
attorney,(n.),Work business & society,Law & justice,əˈtɜːni/ অ্যাটর্নি/ uh-tur-nee,A person appointed to act for another in business or legal matters,উকিল / অ্যাটর্নি,She hired an attorney to handle her case.,A smart leather briefcase sitting beside a wooden judge gavel on a desk,"[
{
""phrase"": ""defense attorney"",
""example_sentence"": ""She hired an defense attorney to handle her case.""
},
{
""phrase"": ""district attorney"",
""example_sentence"": ""She hired an district attorney to handle her case.""
},
{
""phrase"": ""hire an attorney"",
""example_sentence"": ""The discussion focused on the hire an attorney.""
}
]","lawyer, solicitor, counsel, barrister",
fine,(adj.),Work business & society,Law & justice,faɪn/ ফাইন/ fahyn,Of high quality; very good of its kind,সুন্দর / ভালো / জরিমানা,It is a fine day for a walk.,"A brilliantly sunny, cloudless, warm day with birds flying","[
{
""phrase"": ""fine art"",
""example_sentence"": ""The discussion focused on the fine art.""
},
{
""phrase"": ""feel fine"",
""example_sentence"": ""After a short rest, I began to feel fine again.""
}
]","okay, good, excellent, penalty fee","bad, poor"
illegal,(adj.),Work business & society,Law & justice,ɪˈliːɡl/ ইলিগ্যাল/ i-lee-guhl,"Contrary to or forbidden by law, especially criminal law",বেআইনি,It is illegal to park here.,A bold red crossed-out circle over a parked car,"[
{
""phrase"": ""strictly illegal"",
""example_sentence"": ""The discussion focused on the strictly illegal.""
},
{
""phrase"": ""highly illegal"",
""example_sentence"": ""The result seemed highly illegal after the final review.""
}
]","unlawful, criminal, forbidden, banned","legal, lawful"
in case (of),(phrase),Work business & society,Law & justice,ɪn keɪs/ ইন কেস/ in case,As a provision against something happening.,যদি ঘটে / আপৎকালীন,Take an umbrella in case it rains.,"A red emergency alarm box with the words 'in case of fire', highly detailed, dramatic lighting","[
{
""phrase"": ""in case of emergency"",
""example_sentence"": ""The project remained in case of emergency despite the sudden changes.""
},
{
""phrase"": ""just in case"",
""example_sentence"": ""The discussion focused on the just in case.""
},
{
""phrase"": ""in case you need"",
""example_sentence"": ""The project remained in case you need despite the sudden changes.""
}
]","in the event of, should, if, to be safe",
investigation,(n.),Work business & society,Law & justice,ɪnˌvɛstɪˈɡeɪʃn/ ইনভেস্টিগেশন/ in-ves-ti-gey-shuhn,The action of investigating something or someone; formal or systematic examination or research.,তদন্ত,The matter is under investigation.,"A corkboard covered with photographs, notes, and red string connecting different pieces of evidence.","[
{
""phrase"": ""under investigation"",
""example_sentence"": ""The matter is under investigation.""
},
{
""phrase"": ""criminal investigation"",
""example_sentence"": ""The discussion focused on the criminal investigation.""
}
]","inquiry, examination, study, research",
case,(n.),Work business & society,Law & justice,keɪs/ কেস/ keys,An instance of a particular situation; an example of something occurring,ঘটনা / মামলা / বাক্স,"In this case, we need more information.",A leather briefcase sitting on a desk,"[
{
""phrase"": ""in any case"",
""example_sentence"": ""The project remained in any case despite the sudden changes.""
},
{
""phrase"": ""worst-case scenario"",
""example_sentence"": ""The discussion focused on the worst-case scenario.""
},
{
""phrase"": ""court case"",
""example_sentence"": ""In this court case, we need more information.""
}
]","situation, example, lawsuit, instance",
commit,(v.),Work business & society,Law & justice,kəˈmɪt/ কমিট/ kuh-mit,"Carry out or perpetrate (a mistake, crime, or immoral act)",সমর্পণ করা / অপরাধ করা,He was sent to prison for a crime he didn't commit.,A pair of shiny silver handcuffs resting on a wooden desk,"[
{
""phrase"": ""commit a crime"",
""example_sentence"": ""People often commit a crime when the situation requires it.""
},
{
""phrase"": ""commit suicide"",
""example_sentence"": ""People often commit suicide when the situation requires it.""
},
{
""phrase"": ""fully commit"",
""example_sentence"": ""People often fully commit when the situation requires it.""
}
]","carry out, do, be dedicated, perpetrate","avoid, abandon"
confine,(v.),Work business & society,Law & justice,kənˈfaɪn/ কনফাইন/ kuhn-fahyn,"Keep or restrict someone or something within certain limits of (space, scope, quantity, or time)",সীমাবদ্ধ করা,He was confined to bed with a fever.,A bird looking out from a small cage made of glowing red laser bars,"[
{
""phrase"": ""confine to bed"",
""example_sentence"": ""People often confine to bed when the situation requires it.""
},
{
""phrase"": ""strictly confine"",
""example_sentence"": ""The discussion focused on the strictly confine.""
},
{
""phrase"": ""tightly confine"",
""example_sentence"": ""The discussion focused on the tightly confine.""
}
]","restrict, limit, imprison, keep in","free, release"
court,(n.),Work business & society,Law & justice,kɔːt/ কোর্ট/ kawrt,"A tribunal presided over by a judge, judges, or a magistrate in civil and criminal cases",আদালত / খেলার মাঠ,The suspect appeared in court today.,"A heavy, solid wood gavel resting on a thick legal book on a desk","[
{
""phrase"": ""supreme court"",
""example_sentence"": ""We visited the supreme court during the site inspection.""
},
{
""phrase"": ""appear in court"",
""example_sentence"": ""We visited the appear in court during the site inspection.""
},
{
""phrase"": ""tennis court"",
""example_sentence"": ""We visited the tennis court during the site inspection.""
}
]","tribunal, playing area, yard, legal proceeding",
crime,(n.),Work business & society,Law & justice,kraɪm/ ক্রাইম/ krahym,An action or omission that constitutes an offense that may be prosecuted by the state and is punishable by law,অপরাধ,He committed a serious crime.,"A bright yellow, thick 'CRIME SCENE' tape stretching tightly across a dark alley","[
{
""phrase"": ""commit a crime"",
""example_sentence"": ""The discussion focused on the commit a crime.""
},
{
""phrase"": ""violent crime"",
""example_sentence"": ""He committed a serious violent crime.""
},
{
""phrase"": ""organized crime"",
""example_sentence"": ""He committed a serious organized crime.""
}
]","offence, illegal act, wrongdoing, violation",
law,(n.),Work business & society,Law & justice,lɔː/ ল/ law,The system of rules which a particular country or community recognizes as regulating the actions of its members.,আইন,You must obey the law.,"A thick, classic leather-bound book with 'LAW' stamped in gold letters on the spine.","[
{
""phrase"": ""by law"",
""example_sentence"": ""The phrase by law appeared in the report.""
},
{
""phrase"": ""break the law"",
""example_sentence"": ""People often break the law when the situation requires it.""
}
]","rule, regulation, legislation, act","crime, violation"
permission,(n.),Work business & society,Law & justice,pəˈmɪʃn/ পারমিশন/ per-mish-uhn,The action of officially allowing someone to do a particular thing; consent or authorization.,অনুমতি,You need permission to enter this building.,A stamped document with the word 'APPROVED' in bright green ink.,"[
{
""phrase"": ""give permission"",
""example_sentence"": ""The trainer was asked to give permission during the session.""
},
{
""phrase"": ""ask permission"",
""example_sentence"": ""People often ask permission when the situation requires it.""
}
]","consent, approval, authorisation, allowance","denial, refusal"
permit,(v.),Work business & society,Law & justice,pəˈmɪt/ পারমিট/ per-mit,Give authorization or consent to (someone) to do something.,অনুমতি দেওয়া,Smoking is not permitted here.,A security guard holding a hand up gently and checking an official entry badge.,"[
{
""phrase"": ""permit someone to"",
""example_sentence"": ""Good managers know how to permit someone to others respectfully.""
},
{
""phrase"": ""a work permit"",
""example_sentence"": ""The discussion focused on the a work permit.""
}
]","allow, authorise, let, approve","forbid, deny"
rob,(v.),Work business & society,Law & justice,rɒb/ রব/ rob,Take property unlawfully from (a person or place) by force or threat of force.,ডাকাতি করা,They tried to rob the bank.,A silhouette of a burglar carrying a heavy sack running away in the night.,"[
{
""phrase"": ""rob a bank"",
""example_sentence"": ""People often rob a bank when the situation requires it.""
},
{
""phrase"": ""violently rob"",
""example_sentence"": ""The discussion focused on the violently rob.""
}
]","steal from, burgle, mug, take","give, return"
suspicious,(adj.),Work business & society,Law & justice,səˈspɪʃəs/ সাসপিশাস/ suh-spish-uhs,Having or showing a cautious distrust of someone or something,সন্দেহজনক,His behavior was very suspicious.,"A pair of narrowed, distrustful eyes glowing in the dark","[
{
""phrase"": ""highly suspicious"",
""example_sentence"": ""The result seemed highly suspicious after the final review.""
},
{
""phrase"": ""suspicious behavior"",
""example_sentence"": ""The discussion focused on the suspicious behavior.""
}
]","doubtful, distrustful, wary, questionable","trusting, innocent"
suspicion,(n.),Work business & society,Law & justice,səˈspɪʃn/ সাসপিশন/ suh-spish-uhn,"A feeling or thought that something is possible, likely, or true",সন্দেহ,I have a suspicion that she is lying.,A shadowy figure sneaking away with a question mark above,"[
{
""phrase"": ""under suspicion"",
""example_sentence"": ""The equipment remained under suspicion throughout the inspection.""
},
{
""phrase"": ""strong suspicion"",
""example_sentence"": ""I have a strong suspicion that she is lying.""
}
]","doubt, mistrust, wariness, feeling","trust, certainty"
steal,(v.),Work business & society,Law & justice,stiːl/ স্টিল/ steel,Take (another person's property) without permission,চুরি করা,He tried to steal the money.,A thief with a mask grabbing a bag of money,"[
{
""phrase"": ""steal money"",
""example_sentence"": ""People often steal money when the situation requires it.""
},
{
""phrase"": ""catch a thief stealing"",
""example_sentence"": ""If we leave now, we can still catch a thief stealing.""
}
]","take, rob, pilfer, nick","give, return"
reform,"(v.), (n.)",Work business & society,Government & politics,rɪˈfɔːm/ রিফর্ম/ ri-form,To make changes to improve; an improvement or change,সংস্কার করা / সংস্কার,The government announced major economic reforms.,"A politician speaking at a press conference about reforms, microphones, national flag behind","[
{
""phrase"": ""economic reform"",
""example_sentence"": ""The government announced major economic reforms.""
},
{
""phrase"": ""social reform"",
""example_sentence"": ""The discussion focused on the social reform.""
},
{
""phrase"": ""call for reform"",
""example_sentence"": ""People often call for reform when the situation requires it.""
},
{
""phrase"": ""reform the system"",
""example_sentence"": ""People often reform the system when the situation requires it.""
}
]","improve, change, restructure, correction","worsen, corrupt"
representative,"(n.), (adj.)",Work business & society,Government & politics,ˌrɛprɪˈzɛntətɪv/ রিপ্রেজেন্টেটিভ/ rep-ri-zen-tuh-tiv,A person acting on behalf of others; typical of a group,প্রতিনিধি / প্রতিনিধিত্বকারী,He was chosen as the class representative.,"A student at a podium representing their school at a competition, confident expression","[
{
""phrase"": ""elected representative"",
""example_sentence"": ""He was chosen as the class elected representative.""
},
{
""phrase"": ""sales representative"",
""example_sentence"": ""He was chosen as the class sales representative.""
},
{
""phrase"": ""representative sample"",
""example_sentence"": ""The discussion focused on the representative sample.""
},
{
""phrase"": ""class representative"",
""example_sentence"": ""He was chosen as the class representative.""
}
]","delegate, spokesperson, typical, elected member",
state,"(n.), (adj.), (v.)",Work business & society,Government & politics,steɪt/ স্টেট/ stayt,A country or its government; to say formally,রাষ্ট্র / রাজ্য / বলা,She stated her opinion clearly during the debate.,"A woman speaking confidently at a formal debate podium, audience watching","[
{
""phrase"": ""member state"",
""example_sentence"": ""The discussion focused on the member state.""
},
{
""phrase"": ""welfare state"",
""example_sentence"": ""The discussion focused on the welfare state.""
},
{
""phrase"": ""state of mind"",
""example_sentence"": ""People often state of mind when the situation requires it.""
},
{
""phrase"": ""state clearly"",
""example_sentence"": ""People often state clearly when the situation requires it.""
}
]","country, nation, declare, say",
vote,"(n.), (v.)",Work business & society,Government & politics,vəʊt/ ভোট/ voht,A formal choice; to make a formal choice,ভোট / ভোট দেওয়া,She voted in the general election for the first time.,"A person dropping a ballot paper into a voting box, polling station background","[
{
""phrase"": ""cast a vote"",
""example_sentence"": ""The discussion focused on the cast a vote.""
},
{
""phrase"": ""majority vote"",
""example_sentence"": ""The discussion focused on the majority vote.""
},
{
""phrase"": ""vote for"",
""example_sentence"": ""Good managers know how to vote for others respectfully.""
},
{
""phrase"": ""right to vote"",
""example_sentence"": ""The discussion focused on the right to vote.""
}
]","ballot, choose, elect, decide",abstain
federal,(adj.),Work business & society,Government & politics,ˈfɛdərəl/ ফেডারেল/ fed-er-uhl,Having or relating to a system of government in which several states form a unity but remain independent in internal affairs,যুক্তরাষ্ট্রীয়,The federal government announced new laws.,"A majestic, domed capitol building with flags waving proudly","[
{
""phrase"": ""federal government"",
""example_sentence"": ""The federal government announced new laws.""
},
{
""phrase"": ""federal law"",
""example_sentence"": ""You must obey the federal law.""
}
]","national, central, governmental","state, local"
governor,(n.),Work business & society,Government & politics,ˈɡʌvənə/ গভর্নর/ guhv-er-ner,The elected executive head of a state of the US,গভর্নর / রাজ্যপাল,The governor gave a speech on TV.,A distinguished person standing at a podium giving a formal address,"[
{
""phrase"": ""state governor"",
""example_sentence"": ""The state governor gave a speech on TV.""
},
{
""phrase"": ""elected governor"",
""example_sentence"": ""The elected governor gave a speech on TV.""
}
]","leader, ruler, administrator, official",
government,(n.),Work business & society,Government & politics,ˈɡʌvənmənt/ গভার্নমেন্ট/ guhv-ern-muhnt,"The governing body of a nation, state, or community",সরকার,The government announced a new tax policy.,A group of politicians sitting around a formal conference table debating,"[
{
""phrase"": ""local government"",
""example_sentence"": ""The local government announced a new tax policy.""
},
{
""phrase"": ""federal government"",
""example_sentence"": ""The federal government announced a new tax policy.""
}
]","administration, authority, state, regime",
govern,(v.),Work business & society,Government & politics,ˈɡʌvn/ গভার্ন/ guhv-ern,"Conduct the policy, actions, and affairs of (a state, organization, or people)",শাসন করা,The country is governed by a president.,"A grand, majestic government building with large white stone pillars","[
{
""phrase"": ""govern a country"",
""example_sentence"": ""People often govern a country when the situation requires it.""
},
{
""phrase"": ""govern the state"",
""example_sentence"": ""People often govern the state when the situation requires it.""
}
]","rule, administer, control, manage",
cabinet,(n.),Work business & society,Government & politics,ˈkæbɪnɪt/ ক্যাবিনেট/ kab-uh-nit,A cupboard with shelves or drawers for storing or displaying articles,মন্ত্রিসভা / আলমারি,He put the glass back in the cabinet.,A finely crafted wooden cabinet with glass doors displaying shiny plates,"[
{
""phrase"": ""kitchen cabinet"",
""example_sentence"": ""He put the glass back in the kitchen cabinet.""
},
{
""phrase"": ""filing cabinet"",
""example_sentence"": ""He put the glass back in the filing cabinet.""
},
{
""phrase"": ""medicine cabinet"",
""example_sentence"": ""He put the glass back in the medicine cabinet.""
}
]","cupboard, government body, ministers",
congress,(n.),Work business & society,Government & politics,ˈkɒŋɡrɛs/ কংগ্রেস/ kong-gres,A national legislative body,কংগ্রেস / সংসদ,The bill was passed by Congress.,A majestic domed government building with tall white pillars,"[
{
""phrase"": ""act of congress"",
""example_sentence"": ""The discussion focused on the act of congress.""
},
{
""phrase"": ""member of congress"",
""example_sentence"": ""The discussion focused on the member of congress.""
},
{
""phrase"": ""elect to congress"",
""example_sentence"": ""The board will elect to congress at the start of the meeting.""
}
]","parliament, assembly, legislature",
ministry,(n.),Work business & society,Government & politics,ˈmɪnɪstri/ মিনিস্ট্রি/ min-uh-stree,A government department headed by a minister.,মন্ত্রণালয়,He works at the Ministry of Defence.,"A grand, official government building with large stone pillars and an official seal.","[
{
""phrase"": ""ministry of health"",
""example_sentence"": ""The discussion focused on the ministry of health.""
},
{
""phrase"": ""government ministry"",
""example_sentence"": ""He works at the government ministry of Defence.""
}
]","department, government body, office",
national,(adj.),Work business & society,Government & politics,ˈnæʃnəl/ ন্যাশনাল/ nash-uh-nl,Relating to a nation; common to or characteristic of a whole nation.,জাতীয়,We sang the national anthem.,A large national flag waving proudly in the wind against a blue sky.,"[
{
""phrase"": ""national park"",
""example_sentence"": ""Children play in the national park.""
},
{
""phrase"": ""national security"",
""example_sentence"": ""The discussion focused on the national security.""
}
]","domestic, countrywide, public, federal","international, foreign"
nation,(n.),Work business & society,Government & politics,ˈneɪʃn/ নেশন/ ney-shuhn,"A large body of people united by common descent, history, culture, or language, inhabiting a particular country or territory.",জাতি / রাষ্ট্র,The whole nation celebrated the victory.,"A large, diverse crowd of people holding a glowing map of a country together.","[
{
""phrase"": ""whole nation"",
""example_sentence"": ""The whole nation celebrated the victory.""
},
{
""phrase"": ""independent nation"",
""example_sentence"": ""The whole independent nation celebrated the victory.""
}
]","country, state, land, people",
panel,(n.),Work business & society,Government & politics,ˈpænl/ প্যানেল/ pan-l,"A flat or curved component, typically rectangular, that forms or is set into the surface of a door, wall, or ceiling.",প্যানেল / বোর্ড,They installed solar panels on the roof.,"Shiny, modern solar panels installed on the roof of a house under a bright sun.","[
{
""phrase"": ""control panel"",
""example_sentence"": ""People often control panel when the situation requires it.""
},
{
""phrase"": ""solar panel"",
""example_sentence"": ""They installed solar panels on the roof.""
}
]","board, group, committee, display",
power,(n.),Work business & society,Government & politics,ˈpaʊə/ পাওয়ার/ pow-er,The ability or capacity to do something or act in a particular way; electrical energy.,শক্তি / ক্ষমতা,Knowledge is power.,"A glowing, bright electrical bolt arcing powerfully between two metallic points.","[
{
""phrase"": ""solar power"",
""example_sentence"": ""The discussion focused on the solar power.""
},
{
""phrase"": ""in power"",
""example_sentence"": ""The project remained in power despite the sudden changes.""
}
]","authority, strength, force, control","weakness, powerlessness"
powerful,(adj.),Work business & society,Government & politics,ˈpaʊəfl/ পাওয়ারফুল/ pow-er-fuhl,Having great power or strength.,শক্তিশালী,The car has a powerful engine.,"A massive, muscular lion roaring fiercely, displaying immense strength.","[
{
""phrase"": ""powerful engine"",
""example_sentence"": ""The car has a powerful engine.""
},
{
""phrase"": ""powerful voice"",
""example_sentence"": ""The discussion focused on the powerful voice.""
}
]","strong, influential, dominant, mighty","weak, powerless"
parliament,(n.),Work business & society,Government & politics,ˈpɑːləmənt/ পার্লামেন্ট/ pahr-luh-muhnt,"The highest legislature, consisting of the sovereign, the House of Lords, and the House of Commons (in the UK).",সংসদ,The new law was passed by parliament.,"A grand, imposing government building with flags, representing a legislative parliament.","[
{
""phrase"": ""act of parliament"",
""example_sentence"": ""The discussion focused on the act of parliament.""
},
{
""phrase"": ""member of parliament"",
""example_sentence"": ""The discussion focused on the member of parliament.""
}
]","legislature, assembly, congress, house",
party,(n.),Work business & society,Government & politics,ˈpɑːti/ পার্টি/ pahr-tee,"A social gathering of invited guests, typically involving eating, drinking, and entertainment.",দল / পার্টি (অনুষ্ঠান),We are having a birthday party tonight.,"Colorful balloons, confetti, and a decorated cake on a table ready for a celebration.","[
{
""phrase"": ""political party"",
""example_sentence"": ""We are having a birthday political party tonight.""
},
{
""phrase"": ""birthday party"",
""example_sentence"": ""We are having a birthday party tonight.""
}
]","event, political party, group, celebration",
politics,(n.),Work business & society,Government & politics,ˈpɒlətɪks/ পলিটিক্স/ pol-i-tiks,The activities associated with the governance of a country or area.,রাজনীতি,He decided to go into politics.,A stylized abstract background with election ballot boxes and voting symbols.,"[
{
""phrase"": ""local politics"",
""example_sentence"": ""The discussion focused on the local politics.""
},
{
""phrase"": ""play politics"",
""example_sentence"": ""The children love to play politics after school.""
}
]","government, affairs, policy, diplomacy",
president,(n.),Work business & society,Government & politics,ˈprɛzɪdənt/ প্রেসিডেন্ট/ prez-i-duhnt,The elected head of a republican state.,রাষ্ট্রপতি / সভাপতি,The president gave a speech on television.,"A distinguished person standing behind a formal seal, addressing a large crowd.","[
{
""phrase"": ""former president"",
""example_sentence"": ""The former president gave a speech on television.""
},
{
""phrase"": ""elect a president"",
""example_sentence"": ""The board will elect a president at the start of the meeting.""
}
]","head of state, leader, chief executive",
royal,(adj.),Work business & society,Government & politics,ˈrɔɪəl/ রয়াল/ roy-uhl,Having the status of a king or queen or a member of their family.,রাজকীয়,They are members of the royal family.,"A grand, velvet throne accented with gold and a glittering crown.","[
{
""phrase"": ""royal family"",
""example_sentence"": ""They are members of the royal family.""
},
{
""phrase"": ""royal palace"",
""example_sentence"": ""The discussion focused on the royal palace.""
}
]","regal, kingly, imperial, majestic","common, ordinary"
senate,(n.),Work business & society,Government & politics,ˈsenət/ সিনেট/ sen-uht,"The smaller upper assembly in the US Congress, and various other legislatures.",সিনেট / উচ্চকক্ষ,The bill was passed by the senate.,"A grand, circular, formal government assembly room with classical architecture.","[
{
""phrase"": ""us senate"",
""example_sentence"": ""The bill was passed by the us senate.""
},
{
""phrase"": ""state senate"",
""example_sentence"": ""The bill was passed by the state senate.""
}
]","upper house, legislature, assembly",
civil,(adj.),Work business & society,Government & politics,ˈsɪvl/ সিভিল/ siv-uhl,"Relating to ordinary citizens and their concerns, as distinct from military or ecclesiastical matters",বেসামরিক / নাগরিক,They fought for their civil rights.,A diverse group of people marching together holding a large banner,"[
{
""phrase"": ""civil rights"",
""example_sentence"": ""They fought for their civil rights.""
},
{
""phrase"": ""civil war"",
""example_sentence"": ""The discussion focused on the civil war.""
},
{
""phrase"": ""civil service"",
""example_sentence"": ""The discussion focused on the civil service.""
}
]","civic, polite, public, non-military","military, rude"
opposition,(n.),Work business & society,Government & politics,ˌɒpəˈzɪʃn/ অপজিশন/ op-uh-zish-uhn,"Resistance or dissent, expressed in action or argument.",বিরোধিতা / বিরোধী দল,The plan faced strong opposition.,A dense crowd of people holding their hands up in disagreement.,"[
{
""phrase"": ""face opposition"",
""example_sentence"": ""Many graduates face opposition when they enter the job market.""
},
{
""phrase"": ""political opposition"",
""example_sentence"": ""The discussion focused on the political opposition.""
}
]","resistance, rival party, objection, obstacle","support, agreement"
