word,sentence,sentence bangla,phrase,definition,list,type,ipa,pronunciation,bangla_pronunciation,synonyms,antonyms,bangla_meaning,Collocations,Collocations Bangla
itinerant,An old itinerant was crossing the village road.,একজন বৃদ্ধ ভবঘুরে গ্রামের রাস্তা পার হচ্ছিলেন।,old itinerant,Wandering from place to place; Unsettled,800,adjective,aɪˈtɪnərənt,it-IHN-ur-uhnt,আইট·ইন·আর·অনট,"traveling, nomadic, wandering, roving, peripatetic","settled, stationary, sedentary",এক জায়গা থেকে অন্যে ঘুরে বেড়ানো,"[
{
""phrase"": ""highly itinerant"",
""example_sentence"": ""The issue became highly itinerant after the report was released.""
},
{
""phrase"": ""remarkably itinerant"",
""example_sentence"": ""Her response was remarkably itinerant under pressure.""
},
{
""phrase"": ""deeply itinerant"",
""example_sentence"": ""He felt deeply itinerant after hearing the news.""
}
]","[
{
""phrase"": ""অত্যন্ত ভ্রাম্যমাণ"",
""example_sentence"": ""প্রতিবেদন প্রকাশের পর বিষয়টি অত্যন্ত ভ্রাম্যমাণ হয়ে ওঠে।""
},
{
""phrase"": ""উল্লেখযোগ্যভাবে ভ্রাম্যমাণ"",
""example_sentence"": ""চাপের মুখে তার প্রতিক্রিয়া উল্লেখযোগ্যভাবে ভ্রাম্যমাণ ছিল।""
},
{
""phrase"": ""গভীরভাবে ভ্রাম্যমাণ"",
""example_sentence"": ""খবরটি শোনার পর সে গভীরভাবে ভ্রাম্যমাণ বোধ করেছিল।""
}
]"
itinerary,A traveler's itinerary to Nepal is mentioned in the book.,বইটিতে নেপাল ভ্রমণের একটি ভ্রমণসূচির উল্লেখ রয়েছে।,Traveler's itinerary,Route of a traveler's journey,333,noun,aɪˈtɪnərˌɛri,it-IHN-ur-ehr-ee,আইট·ইন·আর·এর·ই,"schedule, route, plan, agenda, program",,ভ্রমণের পথের পরিকল্পনা,"[
{
""phrase"": ""great itinerary"",
""example_sentence"": ""The team showed great itinerary during the crisis.""
},
{
""phrase"": ""show itinerary"",
""example_sentence"": ""Her daily actions show real itinerary and care.""
},
{
""phrase"": ""sense of itinerary"",
""example_sentence"": ""He has a strong sense of itinerary in difficult moments.""
}
]","[
{
""phrase"": ""দুর্দান্ত ভ্রমণসূচি"",
""example_sentence"": ""সঙ্কটের সময় দলটি দুর্দান্ত ভ্রমণসূচি দেখিয়েছিল।""
},
{
""phrase"": ""ভ্রমণসূচি দেখানো"",
""example_sentence"": ""তার দৈনন্দিন কাজগুলি আসল ভ্রমণসূচি দেখানো এবং যত্ন প্রতিফলিত করে।""
},
{
""phrase"": ""ভ্রমণসূচির অনুভূতি"",
""example_sentence"": ""কঠিন মুহূর্তে তার একটি শক্তিশালী ভ্রমণসূচির অনুভূতি রয়েছে।""
}
]"
jaded,"Marriage is exciting in first few years, after that you become jaded.","বিয়ের প্রথম কয়েক বছর বেশ রোমাঞ্চকর লাগে, তারপর একঘেয়ে হয়ে যায়।",Jaded appetites,Not having interest because of repeated experience,3000,noun,ˈʤeɪdɪd,JAYD-uhd,জএইড·অড,"bored, weary, tired, cynical, disillusioned","enthusiastic, fresh, eager",বারবার অভিজ্ঞতায় উৎসাহহীন,"[
{
""phrase"": ""seem jaded"",
""example_sentence"": ""The plan may seem jaded at first, but it has real value.""
},
{
""phrase"": ""remain jaded"",
""example_sentence"": ""Even after the delay, she remained jaded and calm.""
},
{
""phrase"": ""become jaded"",
""example_sentence"": ""The debate quickly became jaded in tone.""
}
]","[
{
""phrase"": ""ক্লান্ত মনে হওয়া"",
""example_sentence"": ""পরিকল্পনাটি প্রথমে ক্লান্ত মনে হওয়া স্বাভাবিক হলেও এর বাস্তব মূল্য রয়েছে।""
},
{
""phrase"": ""ক্লান্ত থাকা"",
""example_sentence"": ""দেরি হওয়ার পরেও, সে ক্লান্ত থাকা এবং শান্ত থাকা বজায় রেখেছিল।""
},
{
""phrase"": ""ক্লান্ত হয়ে যাওয়া"",
""example_sentence"": ""বিতর্কটি দ্রুত সুরে ক্লান্ত হয়ে যাওয়া শুরু করেছিল।""
}
]"
jaundiced,A jaundiced look on her face on being asked to clean her room.,ঘর পরিষ্কার করতে বলায় তার মুখে বিরক্তির ছাপ ফুটে উঠল।,Jaundiced look,Resentment or hostility,800,noun,ˈʤɔndɪst,JAWN-dihst,জঅন·ডইসট,"prejudiced, biased, cynical, bitter, skeptical","open-minded, fair, impartial",বিরাগ বা শত্রুতাপূর্ণ দৃষ্টিভঙ্গি,"[
{
""phrase"": ""try to jaundiced"",
""example_sentence"": ""They tried to jaundiced when the situation grew more difficult.""
},
{
""phrase"": ""need to jaundiced"",
""example_sentence"": ""Sometimes we need to jaundiced before we can move forward.""
},
{
""phrase"": ""choose to jaundiced"",
""example_sentence"": ""In the end, she chose to jaundiced despite the risks.""
}
]","[
{
""phrase"": ""পক্ষপাতদুষ্ট হওয়ার চেষ্টা করা"",
""example_sentence"": ""পরিস্থিতি আরও কঠিন হয়ে উঠলে তারা পক্ষপাতদুষ্ট হওয়ার চেষ্টা করা শুরু করেছিল।""
},
{
""phrase"": ""পক্ষপাতদুষ্ট হওয়া প্রয়োজন"",
""example_sentence"": ""কখনও কখনও আমাদের এগিয়ে যাওয়ার আগে পক্ষপাতদুষ্ট হওয়া প্রয়োজন হতে পারে।""
},
{
""phrase"": ""পক্ষপাতদুষ্ট হওয়া বেছে নেওয়া"",
""example_sentence"": ""ঝুঁকি থাকা সত্ত্বেও শেষ পর্যন্ত সে পক্ষপাতদুষ্ট হওয়া বেছে নেওয়া ঠিক মনে করেছিল।""
}
]"
jaunt,They went out on a Sunday jaunt in the forest.,তারা রবিবারে বনে বেড়াতে গেল।,Touristic jaunt,A journey taken for pleasure,3000,noun,ʤɔnt,JAWNT,জঅনট,"trip, excursion, outing, jaunt, stroll",,আনন্দের জন্য ছোট ভ্রমণ,"[
{
""phrase"": ""great jaunt"",
""example_sentence"": ""The team showed great jaunt during the crisis.""
},
{
""phrase"": ""show jaunt"",
""example_sentence"": ""Her daily actions show real jaunt and care.""
},
{
""phrase"": ""sense of jaunt"",
""example_sentence"": ""He has a strong sense of jaunt in difficult moments.""
}
]","[
{
""phrase"": ""দুর্দান্ত প্রমোদভ্রমণ"",
""example_sentence"": ""সঙ্কটের সময় দলটি দুর্দান্ত প্রমোদভ্রমণ দেখিয়েছিল।""
},
{
""phrase"": ""প্রমোদভ্রমণ দেখানো"",
""example_sentence"": ""তার দৈনন্দিন কাজগুলি আসল প্রমোদভ্রমণ দেখানো এবং যত্ন প্রতিফলিত করে।""
},
{
""phrase"": ""প্রমোদভ্রমণের অনুভূতি"",
""example_sentence"": ""কঠিন মুহূর্তে তার একটি শক্তিশালী প্রমোদভ্রমণের অনুভূতি রয়েছে।""
}
]"
jaunty,His jaunty attire reflected the success he is enjoying.,তার জমকালো পোশাক তার অর্জিত সাফল্যেরই প্রতিফলন ছিল।,Jaunty attire,Showing that you are happy and confident,3000,noun,ˈʤɔnti,JAWN-tee,জঅন·টই,"cheerful, lively, perky, confident, sprightly","gloomy, downcast, listless",সুখী ও আত্মবিশ্বাসী,"[
{
""phrase"": ""seem jaunty"",
""example_sentence"": ""The plan may seem jaunty at first, but it has real value.""
},
{
""phrase"": ""remain jaunty"",
""example_sentence"": ""Even after the delay, she remained jaunty and calm.""
},
{
""phrase"": ""become jaunty"",
""example_sentence"": ""The debate quickly became jaunty in tone.""
}
]","[
{
""phrase"": ""ফুরফুরে মনে হওয়া"",
""example_sentence"": ""পরিকল্পনাটি প্রথমে ফুরফুরে মনে হওয়া স্বাভাবিক হলেও এর বাস্তব মূল্য রয়েছে।""
},
{
""phrase"": ""ফুরফুরে থাকা"",
""example_sentence"": ""দেরি হওয়ার পরেও, সে ফুরফুরে থাকা এবং শান্ত থাকা বজায় রেখেছিল।""
},
{
""phrase"": ""ফুরফুরে হয়ে যাওয়া"",
""example_sentence"": ""বিতর্কটি দ্রুত সুরে ফুরফুরে হয়ে যাওয়া শুরু করেছিল।""
}
]"
jettison,An electrical fault made the aircraft jettison the fuel.,একটি বৈদ্যুতিক ত্রুটির কারণে বিমানটি জ্বালানি ফেলে দিতে বাধ্য হয়।,Jettison fuel,Throw from an airplane,3000,noun,ˈʤɛtɪsən,JEHT-ihs-uhn,জএট·ইস·অন,"discard, abandon, throw away, dispose of, dump","keep, retain, preserve",বিমান থেকে ছুঁড়ে ফেলা,"[
{
""phrase"": ""jettison remaining fuel"",
""example_sentence"": ""The pilot had to jettison the remaining fuel before making an emergency landing on the small airstrip.""
},
{
""phrase"": ""jettison old marketing"",
""example_sentence"": ""The company decided to jettison its old marketing strategy and start again with a completely new approach.""
},
{
""phrase"": ""jettison from"",
""example_sentence"": ""He was quickly jettisoned from the team after he failed to reach his performance targets for three months in a row.""
}
]","[
{
""phrase"": ""অবশিষ্ট জ্বালানী ফেলে দেওয়া"",
""example_sentence"": ""ছোট রানওয়েতে জরুরি অবতরণ করার আগে পাইলটকে অবশিষ্ট জ্বালানী ফেলে দেওয়া প্রয়োজন হয়েছিল।""
},
{
""phrase"": ""পুরানো বিপণন বাদ দেওয়া"",
""example_sentence"": ""কোম্পানিটি তার পুরানো বিপণন বাদ দেওয়া এবং সম্পূর্ণ নতুন পদ্ধতির সাথে আবার শুরু করার সিদ্ধান্ত নিয়েছে।""
},
{
""phrase"": ""থেকে বাদ দেওয়া"",
""example_sentence"": ""টানা তিন মাস পারফরম্যান্সের লক্ষ্যমাত্রা পূরণে ব্যর্থ হওয়ার পর তাকে দল থেকে বাদ দেওয়া হয়েছিল।""
}
]"
jibe,The PM took a jibe on the opposing party.,প্রধানমন্ত্রী বিরোধী দলকে কটাক্ষ করেছেন।,Jibe with,An insulting remark,800,noun,ʤaɪb,JIB,জআইব,"agree, match, correspond, conform, tally","contradict, conflict, disagree",অপমানজনক মন্তব্য,"[
{
""phrase"": ""great jibe"",
""example_sentence"": ""The team showed great jibe during the crisis.""
},
{
""phrase"": ""show jibe"",
""example_sentence"": ""Her daily actions show real jibe and care.""
},
{
""phrase"": ""sense of jibe"",
""example_sentence"": ""He has a strong sense of jibe in difficult moments.""
}
]","[
{
""phrase"": ""দারুণ উপহাস"",
""example_sentence"": ""সংকটের সময় দলটি দারুণ উপহাস দেখিয়েছিল।""
},
{
""phrase"": ""উপহাস দেখানো"",
""example_sentence"": ""তার প্রতিদিনের কাজগুলো আসল উপহাস দেখানো এবং যত্ন প্রমাণ করে।""
},
{
""phrase"": ""উপহাসের অনুভূতি"",
""example_sentence"": ""কঠিন সময়ে তার উপহাসের অনুভূতি খুব প্রবল।""
}
]"
jingoism,There is a fine line between patriotism and jingoism.,দেশপ্রেম ও উগ্র জাতীয়তাবাদের মধ্যে একটি সূক্ষ্ম পার্থক্য রয়েছে।,Violent jingoism,Extreme patriotism often turning aggressive,3000,noun,ˈʤɪŋˌgoʊɪzəm,JIHNG-goh-ihz-uhm,জইং·গও·ইজ·অম,"chauvinism, patriotic excess, nationalism, flag-waving","pacifism, cosmopolitanism",আক্রমণাত্মক চরম দেশপ্রেম,"[
{
""phrase"": ""great jingoism"",
""example_sentence"": ""The team showed great jingoism during the crisis.""
},
{
""phrase"": ""show jingoism"",
""example_sentence"": ""Her daily actions show real jingoism and care.""
},
{
""phrase"": ""sense of jingoism"",
""example_sentence"": ""He has a strong sense of jingoism in difficult moments.""
}
]","[
{
""phrase"": ""দারুণ উগ্র দেশপ্রেম"",
""example_sentence"": ""সংকটের সময় দলটি দারুণ উগ্র দেশপ্রেম দেখিয়েছিল।""
},
{
""phrase"": ""উগ্র দেশপ্রেম দেখানো"",
""example_sentence"": ""তার প্রতিদিনের কাজগুলো আসল উগ্র দেশপ্রেম দেখানো এবং যত্ন প্রমাণ করে।""
},
{
""phrase"": ""উগ্র দেশপ্রেমের অনুভূতি"",
""example_sentence"": ""কঠিন সময়ে তার উগ্র দেশপ্রেমের অনুভূতি খুব প্রবল।""
}
]"
jocose,The comedians tone was so jocose no one could miss a laugh.,কৌতুক অভিনেতার কণ্ঠস্বর এতটাই রসিকতাপূর্ণ ছিল যে কেউ না হেসে থাকতে পারেনি।,Jocose tone,Fond of joking; Jocular; Playful,800,noun,dʒoʊˈkoʊs,jawk-OHZ,জঅক·ওজ,"humorous, joking, witty, playful, jesting","serious, solemn, earnest",রসিকতাপ্রিয় ও কৌতুকপূর্ণ,"[
{
""phrase"": ""highly jocose"",
""example_sentence"": ""The issue became highly jocose after the report was released.""
},
{
""phrase"": ""remarkably jocose"",
""example_sentence"": ""Her response was remarkably jocose under pressure.""
},
{
""phrase"": ""deeply jocose"",
""example_sentence"": ""He felt deeply jocose after hearing the news.""
}
]","[
{
""phrase"": ""অত্যন্ত হাস্যরসাত্মক"",
""example_sentence"": ""প্রতিবেদন প্রকাশের পর বিষয়টি অত্যন্ত হাস্যরসাত্মক হয়ে ওঠে।""
},
{
""phrase"": ""উল্লেখযোগ্যভাবে হাস্যরসাত্মক"",
""example_sentence"": ""চাপের মুখে তার প্রতিক্রিয়া উল্লেখযোগ্যভাবে হাস্যরসাত্মক ছিল।""
},
{
""phrase"": ""গভীরভাবে হাস্যরসাত্মক"",
""example_sentence"": ""খবরটি শোনার পর সে গভীরভাবে হাস্যরসাত্মক বোধ করেছিল।""
}
]"
juggernaut,His massive body made him a juggernaut of a person.,তার বিশাল দেহ তাকে এক অপ্রতিরোধ্য ব্যক্তিতে পরিণত করেছিল।,Juggernaut of costs,A massive unstoppable force that seems to crush everything in its way,800,noun,ˈʤəgərˌnɔt,JUHG-urn-awt,জঅগ·আরন·অট,"force, power, unstoppable force, behemoth, giant",,সব কিছু গুঁড়িয়ে দেওয়া অদম্য শক্তি,"[
{
""phrase"": ""juggernaut of"",
""example_sentence"": ""Nothing could stop the juggernaut of progress from changing the old town.""
},
{
""phrase"": ""great juggernaut"",
""example_sentence"": ""The team showed great juggernaut during the crisis.""
},
{
""phrase"": ""show juggernaut"",
""example_sentence"": ""Her daily actions show real juggernaut and care.""
}
]","[
{
""phrase"": ""বিশাল ধ্বংসাত্মক শক্তি"",
""example_sentence"": ""পুরানো শহরটিকে পরিবর্তন করা থেকে অগ্রগতির বিশাল ধ্বংসাত্মক শক্তি কে কিছুই থামাতে পারেনি।""
},
{
""phrase"": ""দারুণ বিশাল শক্তি"",
""example_sentence"": ""সংকটের সময় দলটি দারুণ বিশাল শক্তি দেখিয়েছিল।""
},
{
""phrase"": ""বিশাল শক্তি দেখানো"",
""example_sentence"": ""তার প্রতিদিনের কাজগুলো আসল বিশাল শক্তি দেখানো এবং যত্ন প্রমাণ করে।""
}
]"
junta,Mella headed the provisional governing junta.,মেলা অন্তর্বর্তীকালীন শাসক গোষ্ঠীর প্রধান ছিলেন।,Governing junta,Group of people united in politic intrigue,800,noun,ˈhʊntə,HUUN-tuh,হউন·টঅ,"council, group, clique, committee, ruling body",,রাজনৈতিক ষড়যন্ত্রের একতাবদ্ধ গোষ্ঠী,"[
{
""phrase"": ""common junta"",
""example_sentence"": ""The phrase \""common junta\"" appeared in a clear example sentence.""
},
{
""phrase"": ""clear junta"",
""example_sentence"": ""The phrase \""clear junta\"" appeared in a clear example sentence.""
},
{
""phrase"": ""simple junta"",
""example_sentence"": ""The phrase \""simple junta\"" appeared in a clear example sentence.""
}
]","[
{
""phrase"": ""সাধারণ সামরিক জান্তা"",
""example_sentence"": ""\""সাধারণ সামরিক জান্তা\"" বাক্যাংশটি একটি স্পষ্ট উদাহরণ বাক্যে উপস্থিত হয়েছিল।""
},
{
""phrase"": ""স্পষ্ট সামরিক জান্তা"",
""example_sentence"": ""\""স্পষ্ট সামরিক জান্তা\"" বাক্যাংশটি একটি স্পষ্ট উদাহরণ বাক্যে উপস্থিত হয়েছিল।""
},
{
""phrase"": ""সহজ সামরিক জান্তা"",
""example_sentence"": ""\""সহজ সামরিক জান্তা\"" বাক্যাংশটি একটি স্পষ্ট উদাহরণ বাক্যে উপস্থিত হয়েছিল।""
}
]"
juxtapose,A juxtaposed picture of man stepping on bridge.,সেতুর উপর পা রাখা এক ব্যক্তির পাশাপাশি রাখা ছবি।,Juxtaposed photograph,Place side by side,800,verb,ˌʤəkstəˈpoʊz,juhk-stuhp-OHZ,জঅক·সটঅপ·ওজ,"place side by side, compare, contrast, set opposite","separate, isolate, detach",পাশাপাশি রাখা,"[
{
""phrase"": ""juxtapose ancient traditional"",
""example_sentence"": ""The exhibit juxtaposed several ancient traditional artifacts with various pieces of modern and digital art.""
},
{
""phrase"": ""juxtapose beauty"",
""example_sentence"": ""The film's director chose to juxtapose the beauty of nature with the ugliness of the city in several scenes.""
},
{
""phrase"": ""juxtapose rich lives"",
""example_sentence"": ""The author juxtaposed the rich lives of the elite with the difficult and poor lives of the workers in his book.""
}
]","[
{
""phrase"": ""প্রাচীন ঐতিহ্যবাহী পাশাপাশি রাখা"",
""example_sentence"": ""প্রদর্শনীতে আধুনিক এবং ডিজিটাল শিল্পের বিভিন্ন অংশের সাথে বেশ কয়েকটি প্রাচীন ঐতিহ্যবাহী পাশাপাশি রাখা হয়েছিল।""
},
{
""phrase"": ""সৌন্দর্য পাশাপাশি রাখা"",
""example_sentence"": ""ছবির পরিচালক বেশ কয়েকটি দৃশ্যে শহরের কুৎসিততার সাথে প্রকৃতির সৌন্দর্য পাশাপাশি রাখা বেছে নিয়েছিলেন।""
},
{
""phrase"": ""সমৃদ্ধ জীবন পাশাপাশি রাখা"",
""example_sentence"": ""লেখক তার বইয়ে শ্রমিকদের কঠিন এবং দরিদ্র জীবনের সাথে অভিজাতদের সমৃদ্ধ জীবন পাশাপাশি রাখা সম্পন্ন করেছেন।""
}
]"
kindred,"They are kindred souls, do not separate them.","তারা সমমনা, তাদের আলাদা করো না।",Kindred souls,Related by blood or marriage,3000,noun,ˈkɪndrɪd,KIHN-drihd,কইন·ডরইড,"related, similar, family, kin, allied","alien, unrelated, foreign",রক্ত বা বিবাহের সম্পর্কিত,"[
{
""phrase"": ""seem kindred"",
""example_sentence"": ""The plan may seem kindred at first, but it has real value.""
},
{
""phrase"": ""remain kindred"",
""example_sentence"": ""Even after the delay, she remained kindred and calm.""
},
{
""phrase"": ""become kindred"",
""example_sentence"": ""The debate quickly became kindred in tone.""
}
]","[
{
""phrase"": ""সদৃশ মনে হওয়া"",
""example_sentence"": ""পরিকল্পনাটি প্রথমে সদৃশ মনে হওয়া স্বাভাবিক, তবে এর প্রকৃত মূল্য রয়েছে।""
},
{
""phrase"": ""সদৃশ থাকা"",
""example_sentence"": ""দেরি হওয়ার পরেও, সে সদৃশ থাকা এবং শান্ত ছিল।""
},
{
""phrase"": ""সদৃশ হয়ে ওঠা"",
""example_sentence"": ""বিতর্কটি দ্রুত সুরে সদৃশ হয়ে ওঠা শুরু করেছিল।""
}
]"
knave,His knavery was well known in the streets.,রাস্তায় তার শঠতার কথা সুবিদিত ছিল।,Knave merchant,A dishonest man,3000,noun,neɪv,NAYV,নএইভ,"scoundrel, villain, rogue, dishonest person, trickster","honest person, noble",অসৎ পুরুষ,"[
{
""phrase"": ""powerful knave"",
""example_sentence"": ""The story tells of a young hero who must defeat a cunning and powerful knave.""
},
{
""phrase"": ""complete knave"",
""example_sentence"": ""Don't be fooled by his smooth talk; he's a complete knave who will steal from anyone.""
},
{
""phrase"": ""great knave"",
""example_sentence"": ""The team showed great knave during the crisis.""
}
]","[
{
""phrase"": ""শক্তিশালী প্রতারক"",
""example_sentence"": ""গল্পটি এমন এক তরুণ নায়কের কথা বলে যাকে অবশ্যই একজন ধূর্ত এবং শক্তিশালী প্রতারক কে পরাজিত করতে হবে।""
},
{
""phrase"": ""সম্পূর্ণ প্রতারক"",
""example_sentence"": ""তার মসৃণ কথায় বোকা হবেন না; সে একজন সম্পূর্ণ প্রতারক যে কারও কাছ থেকে চুরি করবে।""
},
{
""phrase"": ""দারুণ প্রতারক"",
""example_sentence"": ""সংকটের সময় দলটি দারুণ প্রতারক দেখিয়েছিল।""
}
]"
knead,You need to knead the dough properly for tasty breads.,সুস্বাদু রুটির জন্য ময়দা ভালোভাবে মাখতে হবে।,Knead dough,Press something repeatedly and firmly with hands (dough or clay),3000,noun,nid,NEED,নইড,"massage, work, press, squeeze, mix",,হাতে চেপে মাখানো,"[
{
""phrase"": ""great knead"",
""example_sentence"": ""The team showed great knead during the crisis.""
},
{
""phrase"": ""show knead"",
""example_sentence"": ""Her daily actions show real knead and care.""
},
{
""phrase"": ""sense of knead"",
""example_sentence"": ""He has a strong sense of knead in difficult moments.""
}
]","[
{
""phrase"": ""দারুণ ছানা"",
""example_sentence"": ""সংকটের সময় দলটি দারুণ ছানা দেখিয়েছিল।""
},
{
""phrase"": ""ছানা দেখানো"",
""example_sentence"": ""তার প্রতিদিনের কাজগুলো আসল ছানা দেখানো এবং যত্ন প্রমাণ করে।""
},
{
""phrase"": ""ছানার অনুভূতি"",
""example_sentence"": ""কঠিন সময়ে তার ছানার অনুভূতি খুব প্রবল।""
}
]"
knell,He bursted into tears as the death knell rang.,মৃত্যুঘণ্টা বাজতেই সে হাউহাউ করে কেঁদে উঠল।,Death knell,Sound of a bell rung for a death or funeral,3000,noun,nɛl,NEHL,নএল,"toll, ring, peal, signal, death bell",,মৃত্যু বা অন্ত্যেষ্টিক্রিয়ার ঘণ্টাধ্বনি,"[
{
""phrase"": ""knell across valley"",
""example_sentence"": ""The bells were knelling across the valley in the quiet evening air.""
},
{
""phrase"": ""try to knell"",
""example_sentence"": ""They tried to knell when the situation grew more difficult.""
},
{
""phrase"": ""need to knell"",
""example_sentence"": ""Sometimes we need to knell before we can move forward.""
}
]","[
{
""phrase"": ""উপত্যকা জুড়ে শোকধ্বনি"",
""example_sentence"": ""শান্ত সন্ধ্যার বাতাসে উপত্যকা জুড়ে শোকধ্বনি বাজছিল।""
},
{
""phrase"": ""শোকধ্বনি করার চেষ্টা করা"",
""example_sentence"": ""পরিস্থিতি আরও কঠিন হয়ে উঠলে তারা শোকধ্বনি করার চেষ্টা করা শুরু করেছিল।""
},
{
""phrase"": ""শোকধ্বনি করা প্রয়োজন"",
""example_sentence"": ""কখনও কখনও এগিয়ে যাওয়ার আগে আমাদের শোকধ্বনি করা প্রয়োজন হতে পারে।""
}
]"
kudos,Kudos to the programmers who created Whatsapp.,হোয়াটসঅ্যাপ তৈরি করা প্রোগ্রামারদের সাধুবাদ।,Kudos to,Fame; Public admiration,800,noun,ˈkudoʊs,KOOD-ohs,কউড·ওস,"credit, praise, honor, glory, fame","censure, blame, criticism",খ্যাতি ও জনপ্রশংসা,"[
{
""phrase"": ""great kudos"",
""example_sentence"": ""The team showed great kudos during the crisis.""
},
{
""phrase"": ""show kudos"",
""example_sentence"": ""Her daily actions show real kudos and care.""
},
{
""phrase"": ""sense of kudos"",
""example_sentence"": ""He has a strong sense of kudos in difficult moments.""
}
]","[
{
""phrase"": ""দারুণ প্রশংসা"",
""example_sentence"": ""সংকটের সময় দলটি দারুণ প্রশংসা পেয়েছিল।""
},
{
""phrase"": ""প্রশংসা দেখানো"",
""example_sentence"": ""তার প্রতিদিনের কাজগুলো আসল প্রশংসা দেখানো এবং যত্ন প্রমাণ করে।""
},
{
""phrase"": ""প্রশংসার অনুভূতি"",
""example_sentence"": ""কঠিন সময়ে তার প্রশংসার অনুভূতি খুব প্রবল।""
}
]"
labile,He was known to be tearful and emotionally labile.,তিনি সহজে কেঁদে ফেলতেন এবং তাঁর আবেগ অস্থির ছিল বলে জানা যায়।,Emotionally labile,Changing easily or often,800,noun,ˈleɪbɪl,LAYBIHL,লএইবইল,"unstable, changeable, volatile, fluid, flexible","stable, constant, fixed",সহজে ও ঘনঘন পরিবর্তনশীল,"[
{
""phrase"": ""seem labile"",
""example_sentence"": ""The plan may seem labile at first, but it has real value.""
},
{
""phrase"": ""remain labile"",
""example_sentence"": ""Even after the delay, she remained labile and calm.""
},
{
""phrase"": ""become labile"",
""example_sentence"": ""The debate quickly became labile in tone.""
}
]","[
{
""phrase"": ""পরিবর্তনশীল মনে হওয়া"",
""example_sentence"": ""পরিকল্পনাটি প্রথমে পরিবর্তনশীল মনে হওয়া স্বাভাবিক, তবে এর প্রকৃত মূল্য রয়েছে।""
},
{
""phrase"": ""পরিবর্তনশীল থাকা"",
""example_sentence"": ""দেরি হওয়ার পরেও, সে পরিবর্তনশীল থাকা এবং শান্ত ছিল।""
},
{
""phrase"": ""পরিবর্তনশীল হয়ে ওঠা"",
""example_sentence"": ""বিতর্কটি দ্রুত সুরে পরিবর্তনশীল হয়ে ওঠা শুরু করেছিল।""
}
]"
laceration,The accident left him with deep lacerations.,দুর্ঘটনাটির ফলে তার শরীরে গভীর ক্ষত সৃষ্টি হয়েছিল।,Significant laceration,A cut on body,3000,noun,ˌlæsərˈeɪʃən,las-ur-AYSH-uhn,লঅ্যাস·আর·এইশ·অন,"cut, gash, wound, tear, slash",,শরীরে কাটা ক্ষত,"[
{
""phrase"": ""cause laceration"",
""example_sentence"": ""The sudden change may cause laceration in the system.""
},
{
""phrase"": ""prevent laceration"",
""example_sentence"": ""The new rule could help prevent laceration in the future.""
},
{
""phrase"": ""common laceration"",
""example_sentence"": ""The phrase \""common laceration\"" appeared in a clear example sentence.""
}
]","[
{
""phrase"": ""ক্ষত সৃষ্টি করা"",
""example_sentence"": ""হঠাৎ পরিবর্তন সিস্টেমে ক্ষত সৃষ্টি করা সম্ভব করতে পারে।""
},
{
""phrase"": ""ক্ষত রোধ করা"",
""example_sentence"": ""নতুন নিয়ম ভবিষ্যতে ক্ষত রোধ করা নিশ্চিত করতে সাহায্য করতে পারে।""
},
{
""phrase"": ""সাধারণ ক্ষত"",
""example_sentence"": ""\""সাধারণ ক্ষত\"" বাক্যাংশটি একটি স্পষ্ট উদাহরণ বাক্যে উপস্থিত হয়েছিল।""
}
]"
lachrymose,She was rather pink-eyed and lachrymose.,তার চোখ দুটো বেশ গোলাপি ছিল এবং তিনি অশ্রুসিক্ত ছিলেন।,Lachrymose story,Tearful or inducing tears,3000,noun,ˈlækrɪˌmoʊs,LAK-reem-ohz,লঅ্যাক·রইম·ওজ,"tearful, weepy, sad, sorrowful, mournful","cheerful, happy, jovial",কান্নাভেজা বা কান্না জাগায়,"[
{
""phrase"": ""highly lachrymose"",
""example_sentence"": ""The issue became highly lachrymose after the report was released.""
},
{
""phrase"": ""remarkably lachrymose"",
""example_sentence"": ""Her response was remarkably lachrymose under pressure.""
},
{
""phrase"": ""deeply lachrymose"",
""example_sentence"": ""He felt deeply lachrymose after hearing the news.""
}
]","[
{
""phrase"": ""অত্যন্ত ক্রন্দনশীল"",
""example_sentence"": ""প্রতিবেদন প্রকাশের পর বিষয়টি অত্যন্ত ক্রন্দনশীল হয়ে ওঠে।""
},
{
""phrase"": ""উল্লেখযোগ্যভাবে ক্রন্দনশীল"",
""example_sentence"": ""চাপের মুখে তার প্রতিক্রিয়া উল্লেখযোগ্যভাবে ক্রন্দনশীল ছিল।""
},
{
""phrase"": ""গভীরভাবে ক্রন্দনশীল"",
""example_sentence"": ""খবরটি শোনার পর সে গভীরভাবে ক্রন্দনশীল বোধ করেছিল।""
}
]"
