Word/Phrase,Type,Category ,Sub-Category ,Pronunciation,Definition,Bangla meaning,Example Sentence,ai prompt,Collocations,Synonym,Antonym
technical,(adj.),Culture arts people & ideas,Digital technology & hobbies,ˈtɛknɪkl/ টেকনিক্যাল/ tek-ni-kuhl,"Of or relating to a particular subject, art, or craft, or its techniques",কারিগরি,The manual is full of technical terms.,A highly complex blueprint of an engine block with many precise measurements,"technical support, highly technical","specialist, expert, practical, specific","basic, simple"
version,(n.),Culture arts people & ideas,Digital technology & hobbies,ˈvɜːʃn/ ভার্সন/ vur-zhuhn,A particular form of something differing in certain respects from an earlier form or other forms of the same type,সংস্করণ,This is the latest version of the software.,A computer screen displaying 'Update 2.0 Complete' in bright green,"latest version, modified version","edition, form, variant, copy",
virtually,(adv.),Culture arts people & ideas,Digital technology & hobbies,ˈvɜːtʃʊəli/ ভার্চুয়ালি/ vur-choo-uh-lee,Nearly; almost,কার্যত / প্রায়,The disease has been virtually eradicated.,"A battery meter showing a completely empty, faded red charge","virtually impossible, virtually certain","almost, nearly, practically, essentially",
website,(n.),Culture arts people & ideas,Digital technology & hobbies,ˈwɛbsaɪt/ ওয়েবসাইট/ web-sahyt,A location connected to the Internet that maintains one or more pages on the World Wide Web,ওয়েবসাইট,You can find more information on our website.,"A digital browser window showing a modern, clean internet page","visit a website, official website","site, webpage, platform, domain",
artificial,(adj.),Culture arts people & ideas,Digital technology & hobbies,ˌɑːtɪˈfɪʃl/ আর্টিফিশিয়াল/ ahr-tuh-fish-uhl,"Made or produced by human beings rather than occurring naturally, typically as a copy of something natural",কৃত্রিম,This juice contains artificial flavors.,A glowing robotic hand gently holding a vibrant organic green leaf,"artificial intelligence, artificial light, artificial flower","man-made, synthetic, fake, simulated","natural, real"
DVD,(n.),Culture arts people & ideas,Digital technology & hobbies,ˌdiː viː ˈdiː/ ডিভিডি/ dee-vee-dee,A type of compact disc able to store large amounts of data,ডিভিডি,Let's watch a DVD tonight.,A shiny DVD disc in its case,"watch a DVD, DVD player","disc, digital video disc, movie disc",
automatic,(adj.),Culture arts people & ideas,Digital technology & hobbies,ˌɔːtəˈmætɪk/ অটোমেটিক/ aw-tuh-mat-ik,Working by itself with little or no direct human control,স্বয়ংক্রিয়,The doors are automatic.,"A futuristic metal door smoothly sliding open on its own, neon rim lights","automatic weapon, automatic door, fully automatic","self-operating, mechanical, involuntary","manual, deliberate"
CD,(n.),Culture arts people & ideas,Digital technology & hobbies,ˌsiːˈdiː/ সিডি/ see-dee,Compact disc,সিডি,He listened to music on a CD.,A shiny round compact disc reflecting rainbow colors,"play a CD, audio CD, CD player","compact disc, audio disc, recording",
weekend,(n.),Culture arts people & ideas,Digital technology & hobbies,ˌwiːkˈɛnd/ উইকেন্ড/ week-end,"Saturday and Sunday, especially regarded as a time for leisure",সপ্তাহান্ত,What are your plans for the weekend?,"A person relaxing on a hammock with sunglasses, enjoying time off","over the weekend, long weekend","Saturday and Sunday, days off, break","weekday, workday"
activity,(n.),Culture arts people & ideas,Digital technology & hobbies,ækˈtɪvəti/ অ্যাক্টিভিটি/ ak-tiv-i-tee,A thing that a person or group does or has done,কার্যকলাপ,Reading is her favorite leisure activity.,"A collage of sports equipment, books, and art supplies, colorful flat lay design","physical activity, criminal activity, outdoor activity","action, pursuit, task, exercise","inactivity, rest"
the Web,(n.),Culture arts people & ideas,Digital technology & hobbies,ðə wɛb/ দ্য ওয়েব/ thuh web,The World Wide Web or the Internet,ওয়েব / ইন্টারনেট,I found the information on the Web.,A glowing interconnected digital network across a dark globe,"surf the web, browse the web","internet, online, www, network",
disk,(n.),Culture arts people & ideas,Digital technology & hobbies,dɪsk/ ডিস্ক/ disk,"A flat, thin, round object",চাকতি / ডিস্ক,I saved the file to a floppy disk.,A classic black floppy disk on a sleek desk,"hard disk, floppy disk","disc, storage device, hard drive",
fun,"(n.), (adj.)",Culture arts people & ideas,Digital technology & hobbies,fʌn/ ফান/ fuhn,"Enjoyment, amusement, or lighthearted pleasure",মজা / আনন্দ,We had a lot of fun at the beach.,Children laughing and building a giant sandcastle,"have fun, for fun","enjoyment, amusement, entertaining, playful","boredom, dull"
electric,(adj.),Culture arts people & ideas,Digital technology & hobbies,ɪˈlɛktrɪk/ ইলেকট্রিক/ ih-lek-trik,"Of, worked by, or charged with electricity",বৈদ্যুতিক,He bought an electric car.,A bright yellow lightning bolt over a car,"electric shock, electric guitar","powered, electrical, charged, electronic","manual, gas-powered"
electrical,(adj.),Culture arts people & ideas,Digital technology & hobbies,ɪˈlɛktrɪkl/ ইলেকট্রিক্যাল/ ih-lek-tri-kuhl,Operating by or producing electricity,বৈদ্যুতিক,The building had an electrical fault.,A tangled bundle of thick glowing electric wires,"electrical equipment, electrical fault","electric, powered, electronic","manual, non-electric"
electronic,(adj.),Culture arts people & ideas,Digital technology & hobbies,ɪˌlɛkˈtrɒnɪk/ ইলেকট্রনিক/ ih-lek-tron-ik,Having components such as microchips and transistors that control electric currents,ইলেকট্রনিক,He bought a new electronic device.,A glowing green microchip with digital pathways,"electronic mail, electronic device","digital, electric, computerised","analogue, manual"
in memory of,(phrase),Culture arts people & ideas,Digital technology & hobbies,ɪn ˈmeməri ɒv/ ইন মেমোরি অফ,To remember and show respect for someone who has died.,স্মরণে,The tree was planted in memory of his grandfather.,"A young sapling planted next to a small, engraved stone plaque.","established in memory of, dedicated in memory of","to honour, as a tribute, commemorating",
enjoy,(v.),Culture arts people & ideas,Digital technology & hobbies,ɪnˈdʒɔɪ/ এনজয়/ in-joi,Take delight or pleasure in (an activity or occasion),উপভোগ করা,I really enjoy reading books.,A person relaxing with a huge smile on a beach chair,"enjoy playing, thoroughly enjoy","like, appreciate, relish, savour","dislike, suffer"
enjoyable,(adj.),Culture arts people & ideas,Digital technology & hobbies,ɪnˈdʒɔɪəbl/ এনজয়েবল/ in-joi-uh-buhl,(Of an activity or occasion) giving delight or pleasure,উপভোগ্য,We had a very enjoyable evening.,"A warm, glowing campfire surrounded by happy friends","highly enjoyable, completely enjoyable","pleasant, fun, entertaining, delightful","unpleasant, boring"
enjoyment,(n.),Culture arts people & ideas,Digital technology & hobbies,ɪnˈdʒɔɪmənt/ এনজয়মেন্ট/ in-joi-muhnt,The state or process of taking pleasure in something,আনন্দ,He read the book for pure enjoyment.,A person laughing loudly while eating a huge ice cream,"pure enjoyment, derive enjoyment","pleasure, delight, fun, satisfaction","displeasure, misery"
install,(v.),Culture arts people & ideas,Digital technology & hobbies,ɪnˈstɔːl/ ইন্সটল/ in-stawl,Place or fix equipment or machinery in position ready for use.,স্থাপন করা / ইনস্টল করা,We need to install the new software.,A progress bar loading on a modern computer screen displaying 'Installation Complete'.,"install software, easy to install","set up, fix, put in, establish","remove, uninstall"
connection,(n.),Culture arts people & ideas,Digital technology & hobbies,kəˈnɛkʃn/ কানেকশন/ kuh-nek-shuhn,"A relationship in which a person, thing, or idea is linked or associated with something else",সংযোগ,There is a strong connection between the two events.,A chain made of glowing interconnected digital links,"make a connection, lose connection, strong connection","link, relationship, contact, bond","disconnection, separation"
connect,(v.),Culture arts people & ideas,Digital technology & hobbies,kəˈnɛkt/ কানেক্ট/ kuh-nekt,Bring together or into contact so that a real or notional link is established,সংযুক্ত করা,Please connect the printer to the computer.,Two puzzle pieces locking together with a glowing blue line connecting them,"connect to the internet, closely connect, firmly connect","join, link, attach, associate","disconnect, separate"
craft,(n.),Culture arts people & ideas,Digital technology & hobbies,krɑːft/ ক্রাফট/ krahft,An activity involving skill in making things by hand,নৈপুণ্য / কারুশিল্প,He learned the craft of woodcarving.,A pair of skilled hands carefully sculpting a wooden bowl with a tool,"arts and crafts, skilled craft, learn a craft","skill, art, hobby, trade",
net,(n.),Culture arts people & ideas,Digital technology & hobbies,nɛt/ নেট/ net,"A piece of open-meshed material made of twine, cord, or something similar.",জাল,The fisherman threw his net into the sea.,"A large, woven fishing net being cast widely over a dark blue ocean surface.","fishing net, safety net","mesh, web, network, internet",
knit,(v.),Culture arts people & ideas,Digital technology & hobbies,nɪt/ নিট/ nit,"Make (a garment, blanket, etc.) by interlocking loops of wool or other yarn with knitting needles.",বোনা,She loves to knit sweaters.,Two wooden knitting needles interlocking thick red yarn to form a cozy pattern.,"knit a sweater, closely knit","loop, stitch, make, connect","unravel, separate"
sew,(v.),Culture arts people & ideas,Digital technology & hobbies,səʊ/ সো/ soh,"Join, fasten, or repair (something) by making stitches with a needle and thread or a sewing machine.",সেলাই করা,I need to sew a button on my shirt.,A close up of a shiny needle and thread piercing through colorful fabric.,"sew a button, sew by hand","stitch, mend, tailor, make",
web,(n.),Culture arts people & ideas,Digital technology & hobbies,wɛb/ ওয়েব/ web,A network of fine threads constructed by a spider,জাল,The spider spun a web.,"A highly intricate, dewy spider web glistening in the morning sun","spider's web, world wide web","network, internet, spider's web, mesh",
after,"(prep.), (conj.), (adv.)","Language of thought, action & change","Sequence, timing & frequency",ˈɑːftə(r)/আফটার/aaf-ter,In the time following (an event or another period of time),পরে,We can go for a walk after dinner.,"A serene evening landscape with a glowing sunset after a rainy day, puddles reflecting the sky","after all, soon after, shortly after, day after","following, subsequent, later, behind","before, prior"
before,"(prep.), (conj.), (adv.)","Language of thought, action & change","Sequence, timing & frequency",bɪˈfɔː(r)/বিফোর/bi-fohr,During the period of time preceding (a particular event or time),আগে,Please wash your hands before eating.,"A person washing their hands with soap and water under a shiny tap, clean bathroom setting","day before, long before, right before, shortly before","prior to, earlier, previously, ahead of","after, following"
final,"(adj.), (n.)","Language of thought, action & change","Sequence, timing & frequency",lɑːst/লাস্ট/laast,Coming after all others in time or order; to continue for a specified time,শেষ / টেকা,He was the last person to leave the room.,"A lonely figure walking away down a dark, empty street illuminated by a single streetlamp","last night, last year, last minute, last long","last, ultimate, conclusive, end","first, initial"
"last ,","(det.), (adv.), (n.), (v.)","Language of thought, action & change","Sequence, timing & frequency",leɪt/লেট/layt,"Doing something or taking place after the expected, proper, or usual time",দেরি / মৃত,She apologized for being late to the meeting.,"A stressful office worker looking at a wall clock showing 9:30, papers flying around, chaotic mood","late night, run late, too late, late father","final, previous, endure, continue","first, next"
late,"(adj.), (adv.)","Language of thought, action & change","Sequence, timing & frequency",ˈlætə(r)/ল্যাটার/la-ter,Situated or occurring nearer to the end of something than to the beginning,পরবর্তী,"Of the two options, I prefer the latter.","A person standing at a fork in the road, pointing towards the path on the right side, bright sunlight","latter half, latter part, latter stages, former and latter","overdue, delayed, tardy, recent","early, prompt"
latter,"(adj.), (n.)","Language of thought, action & change","Sequence, timing & frequency",ˈlæt.ər/ ল্যাটার / lat-uh,Being the second of two things or people already mentioned,দ্বিতীয় / পরবর্তী,Of the two suggestions,I prefer the latter.,"Two arrows labeled 'former' and 'latter' pointing to the second one, clean minimalist illustration","second, final, most recent","former, first"
next,"(adj.), (adv.), (n.)","Language of thought, action & change","Sequence, timing & frequency",nekst/ নেক্সট / nekst,Immediately following in time or order,পরবর্তী / পরের,What is the next item on the agenda?,"A calendar page flipping to the next day with a bright arrow, vibrant digital art","next week, next time, next door, next to","following, upcoming, adjacent, then","previous, last"
once,"(adv.), (conj.)","Language of thought, action & change","Sequence, timing & frequency",wʌns/ ওয়ান্স / wuns,One time only; as soon as,একবার / যখন,Once you finish,call me.,"A single checkmark on a to-do list with a clock showing one time, simple 2D style","one time, formerly, when, at some point","never, always"
order,"(n.), (v.)","Language of thought, action & change","Sequence, timing & frequency",ˈɔː.dər/ অর্ডার / or-der,Arrangement; to request something,ক্রম / আদেশ করা,Please order the books alphabetically.,"Books neatly arranged on a shelf with a hand pointing, realistic illustration","in order, out of order, place an order, order online","command, request, sequence, arrange","disorder, chaos"
"past ,","(adj.), (n.), (prep.), (adv.)","Language of thought, action & change","Sequence, timing & frequency",pɑːst/ পাস্ট / pahst,Gone by in time; beyond,অতীত / অতিক্রম করে,The past year was challenging.,"An old clock with hands moving backward into mist, nostalgic digital painting","in the past, past tense, past experience, go past","history, previous, former, ago","future, present"
pause,"(v.), (n.)","Language of thought, action & change","Sequence, timing & frequency",pɔːz/ পজ / pawz,To stop briefly; a short stop,বিরতি নেওয়া / থামা,She paused to think before answering.,"A video player screen with a large pause button highlighted, modern UI illustration","pause for thought, brief pause, pause button, without pause","stop briefly, rest, break, halt","continue, proceed"
present,"(adj.), (n.), (v.)","Language of thought, action & change","Sequence, timing & frequency",ˈprez.ənt/ প্রেজেন্ট / prez-uhnt,Existing now; a gift; to show,বর্তমান / উপহার,She was present at the meeting.,"A gift box wrapped with ribbon on a table with people around, festive illustration","the present day, present moment, present a gift, at present","current, now, gift, existing","past, future"
prompt,"(adj.), (v.)","Language of thought, action & change","Sequence, timing & frequency",prɒmpt/ প্রম্পট / prompt,Done without delay; to cause,তাড়াতাড়ি / উদ্দীপিত করা,He gave a prompt reply.,"A stopwatch showing zero seconds next to a fast-moving person, dynamic 3D render","prompt response, prompt delivery, prompt action, prompt someone","quick, on time, immediate, cause","slow, delayed"
routine,"(n.), (adj.)","Language of thought, action & change","Sequence, timing & frequency",ruːˈtiːn/ রুটিন / roo-teen,Regular way of doing things; ordinary,দৈনন্দিন কাজ / সাধারণ,Exercise is part of my daily routine.,"A person following a checklist in morning light, motivational illustration","daily routine, morning routine, routine check, break the routine","habit, schedule, usual, regular","unusual, irregular"
still,"(adv.), (adj.)","Language of thought, action & change","Sequence, timing & frequency",stɪl/ স্টিল / stil,Up to now; not moving,এখনও / স্থির,She is still waiting.,"A calm lake with no ripples and a person standing motionless, serene digital art","still water, still life, still waiting, stand still","yet, even now, motionless, up to now","moving, no longer"
throughout,"(prep.), (adv.)","Language of thought, action & change","Sequence, timing & frequency",θruːˈaʊt/ থ্রু-আউট / throo-out,In every part; during the whole time,সারা / সময় জুড়ে,It rained throughout the day.,"Rain falling continuously over a city landscape from morning to night, realistic scene","throughout the year, throughout the day, throughout history, throughout the world","all through, during, everywhere, from start to finish",
when,"(adv.), (pron.), (conj.)","Language of thought, action & change","Sequence, timing & frequency",wen/ ওয়েন / wen,At what time; the time at which,কখন / যখন,When will you arrive?,"A clock with question mark and calendar pages turning, curious illustration","when possible, when needed, even when, since when","at what time, while, as soon as",
while,"(conj.), (n.)","Language of thought, action & change","Sequence, timing & frequency",waɪl/ ওয়াইল / wyle,During the time that; a period of time,যখন / কিছুক্ষণ,She sang while cooking.,"A person cooking and singing at the same time in a warm kitchen, lively illustration","for a while, while ago, while doing, after a while","during, whereas, although, period",
yet,"(adv.), (conj.)","Language of thought, action & change","Sequence, timing & frequency",jet/ ইয়েট / yet,Up to now; but nevertheless,এখনও / তবুও,He has not arrived yet.,"An empty doorway with a clock showing time passing, expectant mood illustration","not yet, as yet, yet again, and yet","so far, still, but, however",
afterwards,(adv.),"Language of thought, action & change","Sequence, timing & frequency",ˈɑːftəwədz/ আফটারওয়ার্ডস/ af-ter-werdz,At a later or future time,পরবর্তীতে,We had dinner and went to the cinema afterwards.,"A calendar page flipping forward to a new day, motion blur effect","shortly afterwards, long afterwards, soon afterwards","later, subsequently, after that","before, previously"
often,(adv.),"Language of thought, action & change","Sequence, timing & frequency",ˈɒfn/ অফেন/ of-uhn,Frequently; many times.,প্রায়ই,I often go for a walk in the evening.,"A path in a park with multiple footprints layered over each other, showing frequent use.","how often, quite often","frequently, regularly, repeatedly, commonly","seldom, rarely"
during,(prep.),"Language of thought, action & change","Sequence, timing & frequency",ˈdjʊərɪŋ/ ডিউরিং/ dyoor-ing,Throughout the course or duration of (a period of time),সময়ে,He fell asleep during the movie.,A person sleeping in a cinema seat,"during the day, during the war","throughout, in the course of, amid, while",
urgent,(adj.),"Language of thought, action & change","Sequence, timing & frequency",ˈɜːdʒənt/ আর্জেন্ট/ ur-juhnt,Requiring immediate action or attention,জরুরী,This is an urgent message.,A bright red flashing light with a siren,"urgent need, urgent message","pressing, critical, immediate, important","unimportant, non-urgent"
future,"(n.), (adj.)","Language of thought, action & change","Sequence, timing & frequency",ˈfjuːtʃə/ ফিউচার/ fyoo-cher,The time or a period of time following the moment of speaking,ভবিষ্যৎ,He wants to be a doctor in the future.,A glowing crystal ball showing a flying car,"in the future, near future","coming, upcoming, prospect, ahead","past, history"
former,(adj.),"Language of thought, action & change","Sequence, timing & frequency",ˈfɔːmə/ ফর্মার/ fawr-mer,Having previously filled a particular role or been a particular thing,প্রাক্তন,The former president gave a speech.,A faded portrait of a leader next to a bright modern one,"former boss, former glory","previous, past, earlier, one-time","current, latter"
gradually,(adv.),"Language of thought, action & change","Sequence, timing & frequency",ˈɡrædʒuəli/ গ্র্যাজুয়ালি/ graj-oo-uh-lee,In a gradual way; slowly; by degrees,ধীরে ধীরে,The sky gradually grew dark.,A sequence of images showing a tree slowly growing from a seed,"gradually increase, slowly and gradually","slowly, progressively, step by step, steadily","suddenly, abruptly"
interval,(n.),"Language of thought, action & change","Sequence, timing & frequency",ˈɪntəvl/ ইন্টারভাল/ in-ter-vuhl,A pause or break in activity.,বিরতি / ব্যবধান,There is a 15-minute interval during the play.,"A large red curtain at a theatre halfway closed, with a spotlight hitting the stage floor.","regular interval, time interval","gap, break, pause, period",continuation
meanwhile,(adv.),"Language of thought, action & change","Sequence, timing & frequency",ˈmiːnwaɪl/ মিনহোয়াইল/ meen-hwahyl,In the intervening period of time.,ইতোমধ্যে,"He was studying; meanwhile, his brother was playing games.",A split-screen showing one person studying intensely and another playing video games happily.,"in the meanwhile, meanwhile back at","at the same time, in the interim, simultaneously",
never,(adv.),"Language of thought, action & change","Sequence, timing & frequency",ˈnɛvə/ নেভার/ nev-er,At no time in the past or future; on no occasion.,কখনো না,I have never been to Paris.,A bold red prohibition sign stamped heavily over a calendar.,"never mind, almost never","not ever, at no time, not once","always, ever"
always,(adv.),"Language of thought, action & change","Sequence, timing & frequency",ˈɔːlweɪz/ অলওয়েজ/ awl-weyz,At all times; on all occasions,সর্বদা,I will always love you.,An infinity symbol glowing softly in gold on a dark background,"always remember, almost always, always available","forever, constantly, continually, perpetually","never, rarely"
prior,(adj.),"Language of thought, action & change","Sequence, timing & frequency",ˈpraɪə/ প্রায়র/ prahy-er,"Existing or coming before in time, order, or importance.",পূর্ববর্তী,I have a prior engagement.,A calendar showing an event scheduled on an earlier date with an arrow pointing to it.,"prior to, prior knowledge","previous, earlier, former, preceding","later, subsequent"
previous,(adj.),"Language of thought, action & change","Sequence, timing & frequency",ˈpriːviəs/ প্রিভিয়াস/ pree-vee-uhs,Existing or occurring before in time or order.,পূর্ববর্তী,I met him on a previous occasion.,"A 'back' arrow button glowing on a screen, indicating moving to a past state.","previous experience, previous year","last, former, prior, earlier","next, following"
previously,(adv.),"Language of thought, action & change","Sequence, timing & frequency",ˈpriːviəsli/ প্রিভিয়াসলি/ pree-vee-uhs-lee,At an earlier time; before.,পূর্বে,She was previously employed as a teacher.,"An old, dusty calendar page being turned backward to show an earlier date.","previously thought, previously unknown","before, formerly, earlier, once","now, later"
rarely,(adv.),"Language of thought, action & change","Sequence, timing & frequency",ˈrɛəli/ রেয়ারলি/ rair-lee,Not often; seldom.,কদাচিৎ,He rarely eats out.,"A dusty, completely unused dining out table with cobwebs on it.","very rarely, rarely seen","seldom, infrequently, hardly ever","often, frequently"
recent,(adj.),"Language of thought, action & change","Sequence, timing & frequency",ˈriːsnt/ রিসেন্ট/ ree-suhnt,"Having happened, begun, or been done not long ago or in the recent past.",সাম্প্রতিক,There has been a recent increase in sales.,A calendar showing the current week marked heavily with events.,"recent years, in recent times","new, fresh, current, just past","old, ancient"
recently,(adv.),"Language of thought, action & change","Sequence, timing & frequency",ˈriːsntli/ রিসেন্টলি/ ree-suhnt-lee,At a recent time; not long ago.,সম্প্রতি,We recently moved to a new house.,A moving box half unpacked in a brand new living room.,"until recently, fairly recently","lately, just, newly, not long ago","formerly, long ago"
sudden,(adj.),"Language of thought, action & change","Sequence, timing & frequency",ˈsʌdn/ সাডেন/ suhd-n,Occurring or done quickly and unexpectedly or without warning,হঠাৎ,There was a sudden change in the weather.,A bright flash of lightning against a dark sky,"sudden death, all of a sudden","abrupt, unexpected, quick, unforeseen","gradual, expected"
suddenly,(adv.),"Language of thought, action & change","Sequence, timing & frequency",ˈsʌdnli/ সাডেনলি/ suhd-n-lee,Quickly and unexpectedly,হঠাৎ করে,The lights suddenly went out.,A person looking surprised as a balloon pops,"stop suddenly, suddenly realize","abruptly, unexpectedly, all at once","gradually, slowly"
sometimes,(adv.),"Language of thought, action & change","Sequence, timing & frequency",ˈsʌmtaɪmz/ সামটাইমস/ suhm-tahymz,"Occasionally, rather than all of the time.",মাঝে মাঝে,Sometimes I walk to work.,A calendar with only a few random days highlighted.,"sometimes feel, only sometimes","occasionally, now and then, at times","never, always"
something,(pron.),"Language of thought, action & change","Sequence, timing & frequency",ˈsʌmθɪŋ/ সামথিং/ suhm-thing,A thing that is unspecified or unknown.,কিছু একটা,I need something to eat.,A wrapped mystery box with a question mark on it.,"do something, something else","a thing, a matter, an item",nothing
temporary,(adj.),"Language of thought, action & change","Sequence, timing & frequency",ˈtɛmpərəri/ টেম্পোরারি/ tem-puh-rer-ee,Lasting for only a limited period of time; not permanent,অস্থায়ী,He found a temporary job for the summer.,A worker wearing a 'Temporary Pass' badge,"temporary fix, temporary job","short-term, brief, passing, transient","permanent, lasting"
at first,(phrase),"Language of thought, action & change","Sequence, timing & frequency",æt fɜːst/ অ্যাট ফার্স্ট/ at furst,At the beginning,প্রথমে,"At first, I didn't recognize her.",A seed starting to sprout its very first green leaf in rich dark soil,"at first glance, at first sight, hard at first","initially, at the beginning, to start with","finally, eventually"
as soon as,(phrase),"Language of thought, action & change","Sequence, timing & frequency",æz suːn æz/ অ্যাজ সুন অ্যাজ/ az soon az,Immediately at or shortly after the time that,যত তাড়াতাড়ি,Call me as soon as you arrive.,A glowing green start button being pressed fast by a finger,"as soon as possible, call as soon as, arrive as soon as","immediately, when, the moment, directly",
due,(adj.),"Language of thought, action & change","Sequence, timing & frequency",djuː/ ডিউ/ dyoo,Expected at or planned for at a certain time,প্রত্যাশিত / বকেয়া,The train is due in five minutes.,A train arriving at the station clock,"due date, past due","owed, expected, scheduled, payable",
just,(adv.),"Language of thought, action & change","Sequence, timing & frequency",dʒʌst/ জাস্ট/ juhst,Exactly; very recently.,ঠিক / মাত্র,I have just finished my work.,"A stopwatch clicked right at the zero mark, symbolizing exact timing.","just about, just now","only, simply, merely, exactly","unjustly, extremely"
ago,(adv.),"Language of thought, action & change","Sequence, timing & frequency",əˈɡoʊ/ এগো/ uh-goh,Before the present; earlier,আগে,He left ten minutes ago.,"An hourglass with all the sand resting at the bottom, nostalgic sepia tones","years ago, long ago, moments ago","in the past, previously, back, before",
forever,(adv.),"Language of thought, action & change","Sequence, timing & frequency",fəˈrɛvə/ ফরেভার/ fer-ev-er,For all future time; for always,চিরকাল,I will love you forever.,An infinity symbol glowing in gold,"last forever, forever and ever","always, eternally, permanently, for good","temporarily, briefly"
"first , (ordinal number)","(det.), (adv.), (n.)","Language of thought, action & change","Sequence, timing & frequency",fɜːst/ ফার্স্ট/ furst,Coming before all others in time or order,প্রথম,He won first prize in the competition.,A gold medal with the number 1 on it,"at first, first of all","initial, primary, top, earliest","last, final"
immediate,(adj.),"Language of thought, action & change","Sequence, timing & frequency",ɪˈmiːdiət/ ইমিডিয়েট/ i-mee-dee-it,Occurring or done at once; instant,তাৎক্ষণিক,We need an immediate response.,A ticking stopwatch with the hand slamming down quickly,"immediate action, immediate future","instant, direct, prompt, urgent","delayed, gradual"
immediately,(adv.),"Language of thought, action & change","Sequence, timing & frequency",ɪˈmiːdiətli/ ইমিডিয়েটলি/ i-mee-dee-it-lee,At once; instantly,অবিলম্বে,He answered the phone immediately.,A hand reaching very fast to grab a ringing telephone,"stop immediately, act immediately","instantly, at once, right away, promptly","later, eventually"
eventually,(adv.),"Language of thought, action & change","Sequence, timing & frequency",ɪˈvɛntʃʊəli/ ইভেনচুয়ালি/ ih-ven-choo-uh-lee,"In the end, especially after a long delay, dispute, or series of problems",অবশেষে / ঘটনাক্রমে,They eventually found the missing key.,A person looking exhausted but finally holding a golden key up,"happen eventually, succeed eventually","in the end, finally, ultimately, sooner or later","never, immediately"
in order to,(phrase),"Language of thought, action & change","Sequence, timing & frequency",ɪn ˈɔːdər tu/ ইন অর্ডার টু,With the purpose of achieving something.,উদ্দেশ্যে,She studied hard in order to pass the exam.,A student studying late at night under a warm desk lamp with a stack of books.,"so in order to, necessary in order to","so as to, to, for the purpose of",
in the end,(phrase),"Language of thought, action & change","Sequence, timing & frequency",ɪn ði end/ ইন দি এন্ড,"Finally, after something has been thought about or discussed a lot.",অবশেষে,"In the end, they decided to stay home.",A cozy living room setting with a couple relaxing on a sofa at night.,"but in the end, realized in the end","finally, ultimately, at last, eventually","at first, initially"
contemporary,(adj.),"Language of thought, action & change","Sequence, timing & frequency",kənˈtɛmprəri/ কনটেম্পরারি/ kuhn-tem-puh-rer-ee,Living or occurring at the same time; belonging to or occurring in the present,সমসাময়িক,He enjoys reading contemporary literature.,"A very sleek, minimalist modern art gallery with abstract paintings on a white wall","contemporary art, contemporary music, contemporary society","modern, current, present-day, of the time","ancient, historical"
look after,(phr. v.),"Language of thought, action & change","Sequence, timing & frequency",lʊk ˈɑːftə/ লুক আফটার/ lʊk ahf-ter,Take care of someone or something.,দেখাশোনা করা,Can you look after my cat while I'm away?,A gentle hand feeding a small kitten from a bowl.,"look after yourself, carefully look after","care for, tend, mind, be responsible for","neglect, ignore"
may (modal),(v.),"Language of thought, action & change","Sequence, timing & frequency",meɪ/ মে/ mey,Expressing possibility or permission.,সম্ভবত / পারা,It may rain later today.,"A dark, brooding cloud starting to gather in an otherwise clear blue sky.","may be, may well","might, could, be allowed to, be possible",
already,(adv.),"Language of thought, action & change","Sequence, timing & frequency",ɔːlˈrɛdi/ অলরেডি/ awl-red-ee,Before or by now or the time in question,ইতোমধ্যে,I have already eaten breakfast.,A checked to-do list with a coffee cup sitting nearby on a desk,"already know, already seen, already done","by now, previously, before, yet",not yet
phase,(n.),"Language of thought, action & change","Sequence, timing & frequency",steɪdʒ/ ফেজ/ feyz,A distinct period or stage in a process of change or forming part of something's development.,পর্যায় / ধাপ,The project is entering a new phase.,An illustration showing the different changing phases of the moon in sequence.,"initial phase, next phase","stage, period, step, part",
soon,(adv.),"Language of thought, action & change","Sequence, timing & frequency",suːn/ সুন/ soon,In or after a short time.,শীঘ্রই,See you soon.,An hourglass with only a tiny amount of sand left in the top.,"very soon, as soon as","shortly, before long, in a while, promptly","later, eventually"
twice,(adv.),"Language of thought, action & change","Sequence, timing & frequency",twaɪs/ টোয়াইস/ twahys,Two times; on two occasions,দুইবার,I have visited London twice.,"Two identical, perfectly stamped markings next to each other","think twice, twice a week","two times, double, on two occasions","once, half"
amount,"(n.), (v.)","Language of thought, action & change","Amounts, quantities & degrees",əˈmaʊnt/ অ্যামাউন্ট / uh-mount,Quantity; to add up to,পরিমাণ / সমান হওয়া,The total amount is high.,"A pile of coins and notes building up to a large number, shiny 3D render","amount to, large amount, small amount, total amount","quantity, sum, total, figure",
empty,"(adj.), (v.)","Language of thought, action & change","Amounts, quantities & degrees",ˈemp.ti/ এম্পটি / emp-tee,Containing nothing; to remove contents,খালি / খালি করা,The room is empty.,"An open empty box on a table with light shining inside, minimalist illustration","empty space, empty stomach, empty bottle, empty out","vacant, hollow, bare, unfilled","full, filled"
enough,"(det.), (pron.), (adv.)","Language of thought, action & change","Amounts, quantities & degrees",ɪˈnʌf/ ইনাফ / in-uff,As much as required; sufficiently,যথেষ্ট / পর্যাপ্ত,We have enough food.,"A full plate of food with a satisfied smile nearby, warm illustration","enough money, good enough, enough time, more than enough","sufficient, adequate, ample, plenty","insufficient, lacking"
